RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
2010101;6086;965;1091;3006;550;474;2199;4116;357;766;248;135;362;1057;724;725;347;;;;;;;;
2010102;12661;2380;1750;5758;1165;1608;3832;8470;567;1171;413;429;573;3070;1520;666;1041;;;;;;;;
2010103;15131;2805;1968;6919;1369;2070;4920;9911;464;1062;440;263;184;5751;731;689;1231;;;;;;;;
2010104;4994;968;721;2322;484;499;1656;3265;257;371;62;68;34;1663;443;273;413;;;;;;;;
2020201;276;47;22;163;31;13;65;117;22;43;21;9;3;23;6;30;3;;;;;;;;
2020202;5505;725;658;3031;595;496;1219;2040;419;653;165;163;42;416;220;385;161;;;;;;;;
2020203;9915;1188;990;5698;1092;947;2078;3529;867;1193;230;250;95;733;260;722;276;;;;;;;;
2020204;11859;1459;1209;7021;1159;1011;2650;4381;1024;1493;315;285;146;1037;287;830;303;;;;;;;;
2020205;14535;1936;1420;8589;1496;1094;3192;5342;1354;1696;228;265;113;1537;272;1019;440;;;;;;;;
2020206;18318;2515;1850;10834;1670;1449;4728;7750;1602;2302;360;412;128;2162;979;1244;523;;;;;;;;
2030301;9130;1336;1103;5083;837;771;3567;5764;742;943;64;107;52;3330;248;484;600;;;;;;;;
2030302;13134;1871;1453;7422;1172;1216;4272;6913;1107;1459;171;212;84;3321;330;872;635;;;;;;;;
2030401;14793;1842;1358;9230;1272;1091;4221;6556;1461;1951;258;285;115;2297;395;1014;499;;;;;;;;
2030402;11195;1379;1170;7068;858;720;3605;5307;1206;1663;239;140;94;2118;146;736;410;;;;;;;;
