RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;22163;3736;3163;10487;2048;2729;7951;12161;529;2132;1316;1362;565;4703;1282;1341;776;;;;;;;;
1033102;10473;1659;1496;5045;1045;1228;4002;6077;300;968;521;624;226;2690;520;551;498;;;;;;;;
1033201;12380;2559;1678;5235;1118;1790;3979;7838;250;879;521;398;569;3349;1234;597;812;;;;;;;;
1033202;9202;1274;1140;3934;1045;1809;2495;4576;250;825;515;295;245;1941;399;456;415;;;;;;;;
1033203;12567;2221;1767;5946;1179;1454;4678;7305;311;1195;725;783;304;2801;892;819;511;;;;;;;;
1044101;17837;2059;2168;8589;2105;2916;4110;6695;501;1455;766;729;336;2054;517;1065;539;;;;;;;;
1044102;14466;1451;1396;6002;1885;3732;2420;4047;326;1182;742;484;211;1162;178;541;289;;;;;;;;
1044103;7300;838;929;4011;703;819;2443;3522;325;853;391;268;245;962;277;699;218;;;;;;;;
1044201;20165;3700;3041;9516;1746;2162;8931;13535;608;2256;1286;1534;550;5037;1626;1540;992;;;;;;;;
1044202;14842;1936;2432;8113;1216;1145;6052;8466;675;1907;987;701;279;2144;824;2206;405;;;;;;;;
1044203;14432;2036;1925;6819;1384;2268;5712;8309;608;1626;834;742;269;3238;737;1243;454;;;;;;;;
