RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;23939;4055;3790;11491;1996;2607;8549;13532;846;3201;1218;1406;599;4504;1343;1553;926;;;;;;;;
1033102;10870;1718;1673;5394;917;1168;3846;6272;414;1237;427;578;231;2469;591;657;509;;;;;;;;
1033201;12707;2611;1855;5504;1145;1592;3824;8241;378;984;395;339;620;3450;1309;692;847;;;;;;;;
1033202;9483;1430;1107;4159;1035;1752;2427;4995;285;899;481;336;319;1982;438;502;519;;;;;;;;
1033203;12893;2242;1971;6236;1078;1366;4572;7718;501;1448;629;722;393;2651;970;955;579;;;;;;;;
1044101;18922;2170;2503;9184;2131;2934;4757;7976;630;2110;865;801;378;2278;563;1252;594;;;;;;;;
1044102;14927;1543;1526;6184;1808;3866;2719;4749;450;1539;818;465;200;1236;316;566;427;;;;;;;;
1044103;7464;881;1034;4056;732;761;2078;3373;346;823;327;245;219;910;291;627;258;;;;;;;;
1044201;21534;3767;3661;10153;1724;2229;8895;14302;901;2884;1013;1420;616;4916;1735;1699;1032;;;;;;;;
1044202;15333;1919;2560;8613;1234;1007;5629;8372;838;2206;840;557;262;1774;1003;2079;491;;;;;;;;
1044203;15007;1952;2238;7269;1377;2171;5396;8310;704;1989;802;719;252;2884;762;1170;534;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
