RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
2010101;6106;878;1020;3153;534;521;2396;4201;463;969;227;111;358;869;698;823;373;;;;;;;;
2010102;13047;2311;1706;6085;1218;1727;3985;8614;690;1419;374;246;499;3070;1478;747;1155;;;;;;;;
2010103;15589;2755;2035;7315;1441;2043;5322;10500;595;1303;398;325;230;5596;840;791;1415;;;;;;;;
2010104;5145;892;726;2446;530;551;1653;3276;334;478;78;77;33;1543;411;267;467;;;;;;;;
2020201;284;46;28;167;24;19;81;136;37;49;9;0;0;18;12;51;6;;;;;;;;
2020202;5726;733;651;3127;668;547;1428;2219;540;813;120;103;72;399;216;435;181;;;;;;;;
2020203;10668;1349;952;6153;1154;1060;2316;3869;1156;1654;252;117;72;683;296;740;307;;;;;;;;
2020204;12195;1436;1217;7110;1320;1112;3035;4809;1262;1918;316;211;160;952;356;903;309;;;;;;;;
2020205;14837;1817;1369;8570;1717;1364;3419;5619;1585;2086;234;171;123;1438;269;1091;441;;;;;;;;
2020206;18928;2590;1786;11077;1865;1610;5063;8241;2115;2960;368;245;146;2012;919;1403;556;;;;;;;;
2030301;9216;1215;1058;5173;860;910;3556;5744;870;1097;77;79;28;3119;205;547;669;;;;;;;;
2030302;13282;1788;1355;7594;1298;1247;4351;7026;1306;1758;160;142;102;3135;335;923;631;;;;;;;;
2030401;15222;1864;1349;9409;1393;1207;4602;7066;1822;2404;269;192;120;2162;367;1300;521;;;;;;;;
2030402;11273;1333;1115;7037;969;819;3662;5436;1431;1876;201;107;113;1902;161;853;424;;;;;;;;
