RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
2010101;6059;1012;1103;2973;529;442;2204;4173;352;727;258;179;321;1158;721;689;378;;;;;;;;
2010102;12610;2431;1723;5690;1148;1618;3883;8395;472;1081;402;424;576;3074;1541;689;1010;;;;;;;;
2010103;14747;2708;1832;6794;1303;2110;4778;9503;401;985;435;237;212;5580;656;648;1185;;;;;;;;
2010104;4927;1009;716;2234;476;492;1616;3183;191;300;56;76;18;1660;461;257;411;;;;;;;;
2020201;266;38;24;167;18;19;71;110;23;41;12;3;9;12;3;39;3;;;;;;;;
2020202;5431;737;673;2954;575;492;1192;2010;357;583;154;151;66;455;232;366;157;;;;;;;;
2020203;9791;1192;999;5650;1038;912;2017;3460;803;1127;213;275;67;746;271;689;285;;;;;;;;
2020204;11628;1447;1228;6745;1190;1018;2562;4196;901;1342;305;319;154;1029;289;781;282;;;;;;;;
2020205;14373;1988;1410;8527;1332;1116;3072;5214;1207;1515;208;253;97;1593;309;980;467;;;;;;;;
2020206;18017;2443;1937;10635;1613;1389;4666;7600;1492;2148;365;439;124;2195;1006;1188;500;;;;;;;;
2030301;9097;1389;1143;5004;806;755;3590;5747;672;819;55;110;42;3428;229;513;606;;;;;;;;
2030302;12981;1875;1426;7369;1107;1204;4262;6887;972;1335;159;229;89;3428;317;840;649;;;;;;;;
2030401;14635;1856;1415;9100;1179;1085;4106;6483;1313;1785;266;305;111;2386;426;959;511;;;;;;;;
2030402;11056;1335;1183;6939;872;727;3497;5177;1139;1552;249;155;69;2159;117;718;407;;;;;;;;
