RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;22780;3775;3477;10895;1919;2714;8003;12549;671;2558;1373;1320;595;4560;1277;1421;818;;;;;;;;
1033102;10806;1711;1669;5298;914;1214;3966;6199;375;1098;483;621;253;2557;608;612;450;;;;;;;;
1033201;12585;2611;1798;5393;1124;1659;3947;8116;349;879;414;435;572;3439;1318;667;806;;;;;;;;
1033202;9356;1406;1121;4049;973;1807;2466;4858;233;833;478;252;308;2022;450;487;506;;;;;;;;
1033203;12809;2120;1913;6232;1144;1400;4691;7620;393;1340;716;783;396;2769;914;875;543;;;;;;;;
1044101;18495;2158;2370;8961;2058;2948;4522;7521;601;1943;893;742;335;2212;592;1113;584;;;;;;;;
1044102;14717;1445;1518;6046;1785;3923;2498;4301;348;1294;756;450;224;1219;224;519;371;;;;;;;;
1044103;7472;873;957;4111;679;852;2316;3492;308;778;326;277;265;948;266;726;232;;;;;;;;
1044201;20929;3719;3386;9949;1693;2182;8910;13993;694;2480;1174;1459;568;5063;1646;1755;1022;;;;;;;;
1044202;15144;1935;2468;8396;1229;1116;5988;8542;699;2108;983;596;314;1977;965;2131;451;;;;;;;;
1044203;14809;1992;2142;7125;1390;2160;5656;8386;617;1866;896;743;242;2995;750;1263;527;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
