RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
2010101;6320;1116;1072;3103;562;467;2460;4403;347;808;323;165;373;1174;788;708;387;;;;;;;;
2010102;12786;2561;1670;5676;1219;1660;4099;8426;430;1057;485;461;588;3232;1437;695;956;;;;;;;;
2010103;14652;2559;1770;6753;1331;2239;4863;9064;408;1020;487;240;194;5253;604;689;1064;;;;;;;;
2010104;4995;1059;698;2198;504;536;1793;3321;182;279;67;71;63;1702;587;209;410;;;;;;;;
2020201;292;34;35;172;39;12;93;139;32;47;15;3;13;21;6;40;9;;;;;;;;
2020202;5628;747;722;3091;556;512;1491;2295;398;638;179;172;83;497;298;412;195;;;;;;;;
2020203;9827;1191;997;5711;1010;918;2161;3477;791;1101;227;247;89;775;271;705;289;;;;;;;;
2020204;11989;1424;1278;7046;1155;1086;3036;4549;978;1445;327;342;127;1071;318;937;309;;;;;;;;
2020205;14723;1958;1468;8836;1290;1171;3546;5624;1284;1624;236;330;103;1767;373;1009;418;;;;;;;;
2020206;18099;2397;1922;10721;1561;1498;5203;7893;1348;2010;460;556;169;2410;1047;1208;493;;;;;;;;
2030301;9344;1425;1269;4995;912;743;3991;6103;596;775;76;122;41;3740;280;513;632;;;;;;;;
2030302;13160;1989;1520;7388;1037;1226;4522;7069;840;1181;186;257;89;3650;399;854;639;;;;;;;;
2030401;14914;1844;1564;9219;1195;1092;4486;6799;1253;1745;302;350;107;2518;484;1058;537;;;;;;;;
2030402;11369;1329;1233;7135;857;815;3897;5456;1035;1480;318;221;57;2426;153;706;413;;;;;;;;
