"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"E_A";"E_AM";"E_AW";"E_A00_01";"E_A01_02";"E_A02_03";"E_A03_05";"E_A05_06";"E_A06_07";"E_A07_08";"E_A08_10";"E_A10_12";"E_A12_14";"E_A14_15";"E_A15_18";"E_A18_21";"E_A21_25";"E_A25_27";"E_A27_30";"E_A30_35";"E_A35_40";"E_A40_45";"E_A45_50";"E_A50_55";"E_A55_60";"E_A60_63";"E_A63_65";"E_A65_67";"E_A67_70";"E_A70_75";"E_A75_80";"E_A80_85";"E_A85_90";"E_A90_95";"E_A95_110";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110"
"201212";"01011101";"01";"01";"11";"01";"1";926,00;505,00;421,00;3,00;6,00;0,00;10,00;3,00;0,00;0,00;6,00;7,00;0,00;3,00;4,00;63,00;148,00;64,00;73,00;127,00;85,00;78,00;42,00;46,00;53,00;36,00;10,00;13,00;3,00;19,00;9,00;12,00;3,00;0,00;0,00;3,00;19,00;16,00;4,00;211,00;515,00;99,00;44,00;15,00
"201212";"01011102";"01";"01";"11";"02";"1";33,00;15,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;3,00;12,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;27,00;0,00;0,00;0,00
"201212";"01011103";"01";"01";"11";"03";"1";1507,00;816,00;691,00;6,00;9,00;3,00;21,00;9,00;17,00;3,00;12,00;21,00;22,00;12,00;34,00;57,00;138,00;76,00;113,00;201,00;140,00;133,00;120,00;97,00;75,00;30,00;24,00;28,00;33,00;27,00;24,00;16,00;6,00;0,00;0,00;6,00;42,00;87,00;34,00;195,00;880,00;129,00;112,00;22,00
"201212";"01011104";"01";"01";"11";"04";"1";1343,00;696,00;647,00;3,00;0,00;3,00;14,00;0,00;3,00;9,00;9,00;0,00;12,00;9,00;24,00;75,00;169,00;109,00;133,00;170,00;141,00;115,00;114,00;86,00;28,00;22,00;12,00;13,00;6,00;18,00;24,00;13,00;9,00;0,00;0,00;3,00;17,00;42,00;24,00;244,00;868,00;62,00;61,00;22,00
"201212";"01011105";"01";"01";"11";"05";"1";337,00;181,00;156,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;7,00;0,00;3,00;13,00;17,00;14,00;36,00;47,00;21,00;39,00;36,00;42,00;20,00;6,00;9,00;0,00;3,00;6,00;0,00;3,00;0,00;3,00;0,00;0,00;9,00;10,00;3,00;30,00;235,00;35,00;9,00;6,00
"201212";"01011201";"01";"01";"12";"01";"1";607,00;334,00;273,00;3,00;3,00;3,00;6,00;3,00;3,00;9,00;0,00;17,00;9,00;3,00;13,00;15,00;80,00;18,00;53,00;46,00;74,00;57,00;52,00;39,00;42,00;21,00;9,00;3,00;10,00;7,00;6,00;0,00;3,00;0,00;0,00;3,00;15,00;41,00;13,00;95,00;339,00;72,00;26,00;3,00
"201212";"01011202";"01";"01";"12";"02";"1";118,00;66,00;52,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;6,00;6,00;6,00;18,00;21,00;12,00;4,00;15,00;9,00;3,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;6,00;0,00;6,00;82,00;12,00;6,00;3,00
"201212";"01011203";"01";"01";"12";"03";"1";267,00;136,00;131,00;3,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;6,00;13,00;19,00;15,00;23,00;31,00;23,00;27,00;26,00;24,00;15,00;0,00;3,00;9,00;6,00;6,00;3,00;0,00;3,00;0,00;0,00;3,00;9,00;3,00;6,00;32,00;169,00;18,00;24,00;3,00
"201212";"01011204";"01";"01";"12";"04";"1";1216,00;594,00;622,00;7,00;3,00;3,00;6,00;12,00;3,00;9,00;10,00;7,00;6,00;3,00;19,00;22,00;74,00;77,00;128,00;163,00;148,00;144,00;90,00;81,00;66,00;22,00;28,00;24,00;15,00;19,00;6,00;9,00;6,00;6,00;0,00;7,00;24,00;38,00;19,00;96,00;831,00;116,00;64,00;21,00
"201212";"01011301";"01";"01";"13";"01";"1";1097,00;549,00;548,00;7,00;6,00;9,00;13,00;6,00;9,00;0,00;0,00;9,00;3,00;0,00;0,00;26,00;83,00;67,00;139,00;227,00;148,00;115,00;73,00;48,00;44,00;20,00;10,00;12,00;10,00;6,00;0,00;4,00;3,00;0,00;0,00;7,00;34,00;21,00;0,00;109,00;817,00;74,00;28,00;7,00
