ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;HK_EU15;HK_EU27;HK_Polen;HK_EheJug;HK_EheSU;HK_Turk;HK_Arab;HK_Sonst;HK_NZOrd
201012;01011101;01;01;11;01;1;1132;159;323;94;48;179;49;123;334;76
201012;01011102;01;01;11;02;1;30;9;21;6;0;0;0;0;3;6
201012;01011103;01;01;11;03;1;2467;300;564;188;206;459;287;212;627;112
201012;01011104;01;01;11;04;1;2302;219;439;117;103;236;487;410;415;212
201012;01011105;01;01;11;05;1;355;80;120;25;0;60;15;15;122;23
201012;01011201;01;01;12;01;1;876;98;222;9;12;288;24;79;221;30
201012;01011202;01;01;12;02;1;130;33;46;0;6;15;6;0;54;3
201012;01011203;01;01;12;03;1;311;47;98;15;3;142;6;4;52;6
201012;01011204;01;01;12;04;1;1777;269;614;90;74;396;60;181;389;63
201012;01011301;01;01;13;01;1;1288;437;588;80;28;147;31;45;422;27
201012;01011302;01;01;13;02;1;3350;1112;1466;149;111;280;155;110;1130;98
201012;01011303;01;01;13;03;1;2399;572;852;134;70;301;93;118;904;61
201012;01011304;01;01;13;04;1;2117;191;410;65;131;312;212;135;833;84
201012;01011305;01;01;13;05;1;1416;210;429;62;42;219;146;106;425;49
201012;01011306;01;01;13;06;1;2126;263;577;138;96;198;459;123;496;177
201012;01011401;01;01;14;01;1;3601;1343;1867;221;101;293;117;64;1064;95
201012;01011402;01;01;14;02;1;2828;1161;1452;123;46;194;70;77;920;69
201012;01022101;01;02;21;01;1;1273;124;419;247;116;48;168;210;218;94
201012;01022102;01;02;21;02;1;3044;299;787;318;350;156;655;418;479;199
201012;01022103;01;02;21;03;1;95;6;18;3;0;10;28;24;15;0
201012;01022104;01;02;21;04;1;7401;762;1871;738;703;418;1672;798;1395;544
201012;01022105;01;02;21;05;1;2483;209;519;186;222;155;554;491;359;183
201012;01022106;01;02;21;06;1;3195;523;970;272;211;284;484;298;683;265
201012;01022201;01;02;22;01;1;4319;490;983;341;296;217;1301;343;815;364
201012;01022202;01;02;22;02;1;864;40;90;37;22;39;416;100;91;106
201012;01022203;01;02;22;03;1;3590;222;570;263;290;219;1200;526;400;385
201012;01022204;01;02;22;04;1;1841;267;548;190;86;195;331;175;373;133
201012;01022205;01;02;22;05;1;1705;124;340;158;160;295;314;229;240;127
201012;01022206;01;02;22;06;1;1030;154;326;117;34;113;180;64;226;87
201012;01022207;01;02;22;07;1;2267;476;770;172;72;239;134;174;766;112
201012;01033101;01;03;31;01;1;12725;692;2681;1229;1380;640;4425;1287;1457;855
201012;01033102;01;03;31;02;1;6071;373;1110;420;582;221;2489;632;565;472
201012;01033201;01;03;32;01;1;8115;342;874;381;377;604;3446;1319;665;830
201012;01033202;01;03;32;02;1;4912;282;844;482;288;302;1990;457;511;520
201012;01033203;01;03;32;03;1;7512;406;1245;608;755;421;2708;946;908;529
201012;01044101;01;04;41;01;1;7570;581;1963;888;770;330;2225;565;1125;592
201012;01044102;01;04;41;02;1;4537;396;1407;749;473;211;1226;260;575;385
201012;01044103;01;04;41;03;1;3283;304;775;301;252;216;926;278;581;255
201012;01044201;01;04;42;01;1;13826;778;2551;1069;1390;544;4961;1738;1626;1016
201012;01044202;01;04;42;02;1;8189;736;1992;824;582;267;1867;954;2057;470
201012;01044203;01;04;42;03;1;7996;600;1750;791;704;250;2864;763;1157;508
201012;02010101;02;01;01;01;1;4173;352;727;258;179;321;1158;721;689;378
201012;02010102;02;01;01;02;1;8395;472;1081;402;424;576;3074;1541;689;1010
201012;02010103;02;01;01;03;1;9503;401;985;435;237;212;5580;656;648;1185
201012;02010104;02;01;01;04;1;3183;191;300;56;76;18;1660;461;257;411
201012;02020201;02;02;02;01;1;110;23;41;12;3;9;12;3;39;3
201012;02020202;02;02;02;02;1;2010;357;583;154;151;66;455;232;366;157
201012;02020203;02;02;02;03;1;3460;803;1127;213;275;67;746;271;689;285
201012;02020204;02;02;02;04;1;4196;901;1342;305;319;154;1029;289;781;282
201012;02020205;02;02;02;05;1;5214;1207;1515;208;253;97;1593;309;980;467
201012;02020206;02;02;02;06;1;7600;1492;2148;365;439;124;2195;1006;1188;500
201012;02030301;02;03;03;01;1;5747;672;819;55;110;42;3428;229;513;606
201012;02030302;02;03;03;02;1;6887;972;1335;159;229;89;3428;317;840;649
201012;02030401;02;03;04;01;1;6483;1313;1785;266;305;111;2386;426;959;511
201012;02030402;02;03;04;02;1;5177;1139;1552;249;155;69;2159;117;718;407
201012;02040501;02;04;05;01;1;992;72;237;56;46;157;26;94;411;21
201012;02040502;02;04;05;02;1;1158;165;345;78;55;165;40;57;454;42
201012;02040503;02;04;05;03;1;1536;424;687;138;62;116;55;39;525;52
201012;02040701;02;04;07;01;1;3179;307;770;203;256;568;192;183;1128;82
201012;02040702;02;04;07;02;1;1525;461;689;103;36;178;58;25;479;60
201012;02040703;02;04;07;03;1;179;24;54;27;15;12;31;12;46;9
201012;02050601;02;05;06;01;1;1338;411;538;69;63;115;58;52;476;36
201012;02050602;02;05;06;02;1;3285;1031;1529;272;179;292;109;110;955;111
201012;02050801;02;05;08;01;1;3545;1012;1479;235;300;274;112;85;1196;99
201012;02050802;02;05;08;02;1;3443;1380;1892;255;73;197;130;76;982;93
201012;02050803;02;05;08;03;1;1037;334;509;112;48;95;88;48;211;38
201012;02050804;02;05;08;04;1;345;62;137;34;13;31;21;12;105;26
201012;03010101;03;01;01;01;2;185;25;91;36;0;37;12;4;29;12
201012;03010102;03;01;01;02;2;642;39;208;99;27;205;33;16;128;25
201012;03010104;03;01;01;04;2;22;19;22;3;0;0;0;0;0;0
201012;03020203;03;02;02;03;2;63;3;33;9;9;9;3;0;6;3
201012;03020209;03;02;02;09;2;1114;182;479;142;43;148;57;24;286;77
201012;03020210;03;02;02;10;2;700;61;263;131;21;142;51;27;141;55
201012;03020307;03;02;03;07;2;1489;112;444;220;61;596;98;51;171;68
201012;03030405;03;03;04;05;2;854;63;248;106;72;363;31;15;95;30
201012;03030406;03;03;04;06;2;423;67;186;60;30;92;6;6;66;37
201012;03030711;03;03;07;11;2;274;27;118;61;0;59;0;11;60;26
201012;03030715;03;03;07;15;2;378;25;128;37;31;57;30;21;73;38
201012;03030716;03;03;07;16;2;25;3;16;10;0;3;0;0;6;0
201012;03040508;03;04;05;08;2;697;91;179;73;16;216;135;21;71;59
201012;03040512;03;04;05;12;2;875;148;338;113;67;114;120;34;116;86
201012;03040513;03;04;05;13;2;346;61;129;35;18;55;30;9;63;42
201012;03040614;03;04;06;14;2;2506;527;1147;307;97;362;61;122;587;130
201012;03040818;03;04;08;18;2;2443;512;1080;290;90;370;107;141;553;102
201012;03050919;03;05;09;19;2;210;36;96;33;9;46;6;3;44;6
201012;03050920;03;05;09;20;2;484;90;225;50;18;96;33;17;62;33
201012;03050923;03;05;09;23;2;788;117;343;128;35;101;44;36;209;20
201012;03050924;03;05;09;24;2;557;116;265;101;39;48;30;27;130;18
201012;03050925;03;05;09;25;2;716;115;298;104;15;101;15;15;241;31
201012;03051017;03;05;10;17;2;510;20;247;192;9;165;12;3;62;12
201012;03051021;03;05;10;21;2;376;43;132;41;37;69;15;6;108;9
201012;03051022;03;05;10;22;2;198;12;73;34;3;48;6;4;52;12
201012;03061126;03;06;11;26;1;2147;762;1081;177;57;183;59;118;599;50
201012;03061131;03;06;11;31;1;1833;770;990;116;28;167;18;63;538;29
201012;03061227;03;06;12;27;1;1983;735;990;124;46;140;51;72;624;60
201012;03061228;03;06;12;28;1;1420;346;592;123;45;153;76;52;478;24
201012;03061332;03;06;13;32;1;4092;1595;2073;223;100;282;97;73;1359;108
201012;03061429;03;06;14;29;1;715;63;280;86;30;105;39;24;217;20
201012;03061430;03;06;14;30;1;304;45;105;24;27;42;15;15;90;10
201012;03061434;03;06;14;34;1;759;201;378;83;9;65;13;32;253;9
201012;03061435;03;06;14;35;1;580;101;193;31;41;72;9;19;236;10
201012;03061441;03;06;14;41;1;208;65;100;15;12;22;6;3;52;13
201012;03071536;03;07;15;36;1;2532;1042;1311;124;45;152;58;48;851;67
201012;03071537;03;07;15;37;1;2949;1218;1535;145;27;218;54;74;963;78
201012;03071633;03;07;16;33;1;333;25;72;19;22;51;24;10;150;4
201012;03071638;03;07;16;38;1;3180;1203;1615;187;69;248;84;69;1027;68
201012;03071639;03;07;16;39;1;2152;766;1144;223;98;140;54;66;566;84
201012;04010101;04;01;01;01;2;3334;212;1008;663;243;287;673;197;628;298
201012;04010102;04;01;01;02;2;160;19;55;21;27;13;18;6;31;10
201012;04010103;04;01;01;03;2;2941;110;762;585;168;544;687;220;317;243
201012;04020204;04;02;02;04;2;46;19;22;0;7;0;0;3;7;7
201012;04020205;04;02;02;05;2;242;67;95;13;30;6;9;12;67;23
201012;04020206;04;02;02;06;2;404;78;153;53;19;47;18;18;96;53
201012;04020207;04;02;02;07;2;651;125;215;57;37;65;61;33;182;58
201012;04020208;04;02;02;08;2;591;156;265;73;3;43;27;13;145;95
201012;04020209;04;02;02;09;2;1065;269;409;70;18;112;12;51;363;100
201012;04020310;04;02;03;10;2;243;18;65;26;9;15;12;21;112;9
201012;04020311;04;02;03;11;2;3268;728;1252;310;155;296;303;207;721;334
201012;04020312;04;02;03;12;2;1118;207;387;90;52;115;103;43;296;122
201012;04020313;04;02;03;13;2;1864;269;573;184;168;147;246;119;433;178
201012;04020314;04;02;03;14;2;10;6;10;4;0;0;0;0;0;0
201012;04030415;04;03;04;15;1;1172;140;363;146;49;132;114;140;315;59
201012;04030416;04;03;04;16;1;4471;519;1000;317;233;353;1294;257;889;445
201012;04030417;04;03;04;17;1;3434;701;1187;296;301;328;444;186;727;261
201012;04030518;04;03;05;18;1;3313;417;869;330;240;231;645;226;798;304
201012;04030519;04;03;05;19;1;1967;270;554;231;99;108;352;180;485;189
201012;04030620;04;03;06;20;1;3224;365;916;371;220;410;412;266;719;281
201012;04030621;04;03;06;21;1;1459;215;452;160;110;190;228;86;305;88
201012;04030622;04;03;06;22;1;4099;615;1114;354;336;402;626;330;921;370
201012;04030623;04;03;06;23;1;2159;258;519;173;101;451;232;194;514;148
201012;04030724;04;03;07;24;1;1989;390;705;205;89;276;181;152;410;176
201012;04030725;04;03;07;25;1;3887;937;1488;332;244;313;283;229;1081;249
201012;04030726;04;03;07;26;1;1993;424;740;202;105;223;132;112;539;142
201012;04030827;04;03;08;27;1;5228;848;1556;426;459;504;627;451;1299;332
201012;04030828;04;03;08;28;1;3561;785;1174;225;263;268;298;274;1006;278
201012;04030929;04;03;09;29;1;2202;521;803;183;129;307;141;117;539;166
201012;04030930;04;03;09;30;1;2076;605;855;120;125;230;108;113;495;150
201012;04030931;04;03;09;31;1;1555;364;551;118;101;206;108;85;390;114
201012;04031032;04;03;10;32;1;4721;887;1657;518;340;649;324;192;1172;387
201012;04041133;04;04;11;33;2;6;0;3;3;0;0;0;0;3;0
201012;04041134;04;04;11;34;2;1492;316;507;103;60;302;83;63;329;148
201012;04041135;04;04;11;35;2;863;164;258;52;34;191;37;9;214;120
201012;04041136;04;04;11;36;2;765;123;228;77;22;136;43;19;242;75
201012;04041137;04;04;11;37;2;2106;286;672;279;155;346;161;92;453;227
201012;04041238;04;04;12;38;2;1316;187;393;164;94;212;129;81;303;104
201012;04041239;04;04;12;39;2;25;3;6;3;0;6;3;3;7;0
201012;04041240;04;04;12;40;2;346;60;96;9;20;51;3;9;122;45
201012;04041241;04;04;12;41;2;1202;213;408;133;71;186;77;61;220;179
201012;04041342;04;04;13;42;2;1181;115;464;294;78;169;97;41;233;99
201012;04041343;04;04;13;43;2;970;101;264;107;57;137;108;18;279;107
201012;04041344;04;04;13;44;2;2485;521;804;196;163;215;156;157;787;203
201012;04051445;04;05;14;45;1;1935;223;530;241;174;239;195;120;469;208
201012;04051446;04;05;14;46;1;3581;692;1209;314;193;637;182;144;942;274
201012;04051447;04;05;14;47;1;1846;338;621;153;129;244;115;81;525;131
201012;04051448;04;05;14;48;1;3150;642;1090;297;171;343;331;138;814;263
201012;04051549;04;05;15;49;1;1311;206;358;128;169;101;170;106;300;107
201012;04051550;04;05;15;50;1;1795;321;610;180;186;206;192;108;357;136
201012;04051551;04;05;15;51;1;1430;242;460;146;172;178;147;55;303;115
201012;04051652;04;05;16;52;1;2946;574;937;243;151;349;247;175;838;249
201012;04051653;04;05;16;53;1;2214;420;787;210;211;245;233;85;462;191
201012;04051654;04;05;16;54;1;822;127;228;84;55;141;82;15;230;71
201012;04051655;04;05;16;55;1;2293;373;688;248;150;299;256;133;583;184
201012;04051656;04;05;16;56;1;1876;329;612;184;136;159;192;93;496;188
201012;04061757;04;06;17;57;2;9;3;6;3;0;0;0;0;0;3
201012;05010101;05;01;01;01;2;2152;157;589;383;144;217;379;397;226;200
201012;05010102;05;01;01;02;2;773;104;312;168;60;85;112;24;102;78
201012;05010103;05;01;01;03;2;937;118;356;170;63;75;134;33;119;157
201012;05010204;05;01;02;04;2;956;60;203;109;25;481;62;76;78;31
201012;05010205;05;01;02;05;2;442;49;91;33;50;57;102;6;55;81
201012;05010206;05;01;02;06;2;2455;126;644;453;115;738;520;108;123;207
