"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"E_A";"E_AM";"E_AW";"E_A00_01";"E_A01_02";"E_A02_03";"E_A03_05";"E_A05_06";"E_A06_07";"E_A07_08";"E_A08_10";"E_A10_12";"E_A12_14";"E_A14_15";"E_A15_18";"E_A18_21";"E_A21_25";"E_A25_27";"E_A27_30";"E_A30_35";"E_A35_40";"E_A40_45";"E_A45_50";"E_A50_55";"E_A55_60";"E_A60_63";"E_A63_65";"E_A65_67";"E_A67_70";"E_A70_75";"E_A75_80";"E_A80_85";"E_A85_90";"E_A90_95";"E_A95_110";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110"
"201312";"07070703";"07";"07";"07";"03";"2";596,00;284,00;312,00;3,00;4,00;0,00;6,00;0,00;3,00;0,00;0,00;3,00;9,00;12,00;24,00;13,00;29,00;9,00;30,00;48,00;63,00;67,00;66,00;47,00;45,00;19,00;21,00;16,00;15,00;16,00;24,00;4,00;0,00;0,00;0,00;3,00;10,00;27,00;24,00;42,00;330,00;85,00;71,00;4,00
"201312";"07070704";"07";"07";"07";"04";"2";853,00;424,00;429,00;6,00;6,00;0,00;15,00;9,00;12,00;4,00;15,00;9,00;16,00;12,00;29,00;27,00;50,00;33,00;46,00;100,00;98,00;79,00;81,00;43,00;64,00;22,00;18,00;4,00;18,00;18,00;13,00;6,00;0,00;0,00;0,00;6,00;30,00;68,00;29,00;77,00;480,00;104,00;53,00;6,00
"201312";"07070705";"07";"07";"07";"05";"2";393,00;184,00;209,00;4,00;0,00;3,00;10,00;0,00;0,00;0,00;6,00;13,00;3,00;3,00;7,00;16,00;12,00;16,00;19,00;41,00;29,00;43,00;31,00;35,00;19,00;9,00;10,00;12,00;14,00;19,00;6,00;10,00;3,00;0,00;0,00;4,00;13,00;25,00;7,00;28,00;214,00;38,00;51,00;13,00
"201312";"07070706";"07";"07";"07";"06";"2";164,00;79,00;85,00;3,00;0,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;7,00;9,00;32,00;22,00;18,00;10,00;10,00;10,00;12,00;3,00;6,00;3,00;3,00;3,00;0,00;0,00;0,00;3,00;6,00;3,00;4,00;0,00;98,00;32,00;15,00;3,00
"201312";"07070707";"07";"07";"07";"07";"2";142,00;56,00;86,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;4,00;9,00;7,00;0,00;3,00;3,00;19,00;16,00;18,00;12,00;14,00;0,00;6,00;6,00;6,00;3,00;0,00;3,00;0,00;7,00;0,00;0,00;3,00;3,00;4,00;16,00;71,00;20,00;15,00;10,00
"201312";"08010115";"08";"01";"01";"15";"1";184,00;101,00;83,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;15,00;6,00;22,00;34,00;13,00;16,00;15,00;6,00;14,00;16,00;0,00;3,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;15,00;112,00;30,00;15,00;0,00
"201312";"08010116";"08";"01";"01";"16";"1";1165,00;633,00;532,00;9,00;0,00;3,00;6,00;3,00;6,00;3,00;6,00;0,00;3,00;12,00;12,00;34,00;80,00;67,00;83,00;149,00;149,00;119,00;86,00;83,00;57,00;33,00;22,00;19,00;37,00;43,00;29,00;12,00;0,00;0,00;0,00;9,00;12,00;30,00;12,00;114,00;736,00;112,00;128,00;12,00
"201312";"08010117";"08";"01";"01";"17";"1";5254,00;2835,00;2419,00;15,00;22,00;30,00;46,00;23,00;15,00;20,00;28,00;30,00;42,00;25,00;95,00;137,00;379,00;312,00;524,00;897,00;637,00;525,00;386,00;268,00;203,00;140,00;100,00;70,00;58,00;139,00;62,00;13,00;3,00;7,00;3,00;15,00;121,00;160,00;95,00;516,00;3549,00;443,00;329,00;26,00
"201312";"08010118";"08";"01";"01";"18";"1";4057,00;2139,00;1918,00;41,00;44,00;21,00;57,00;31,00;40,00;38,00;48,00;55,00;31,00;47,00;106,00;126,00;332,00;224,00;342,00;504,00;459,00;366,00;336,00;245,00;160,00;59,00;67,00;65,00;54,00;63,00;71,00;9,00;10,00;6,00;0,00;41,00;153,00;259,00;106,00;458,00;2476,00;286,00;253,00;25,00
"201312";"08010211";"08";"01";"02";"11";"1";3903,00;2024,00;1879,00;19,00;12,00;16,00;72,00;18,00;9,00;18,00;51,00;44,00;47,00;16,00;104,00;142,00;323,00;197,00;414,00;548,00;436,00;317,00;291,00;248,00;167,00;71,00;39,00;30,00;79,00;94,00;51,00;27,00;3,00;0,00;0,00;19,00;118,00;185,00;104,00;465,00;2451,00;277,00;254,00;30,00
"201312";"08010212";"08";"01";"02";"12";"1";2494,00;1267,00;1227,00;6,00;16,00;9,00;25,00;10,00;9,00;15,00;28,00;26,00;26,00;18,00;52,00;64,00;121,00;89,00;236,00;307,00;250,00;257,00;214,00;178,00;142,00;89,00;45,00;47,00;55,00;86,00;39,00;23,00;6,00;0,00;6,00;6,00;60,00;122,00;52,00;185,00;1531,00;276,00;227,00;35,00
"201312";"08010213";"08";"01";"02";"13";"1";4479,00;2393,00;2086,00;40,00;38,00;30,00;61,00;26,00;45,00;19,00;35,00;42,00;43,00;22,00;127,00;144,00;349,00;282,00;388,00;642,00;460,00;444,00;369,00;235,00;152,00;85,00;68,00;56,00;78,00;110,00;60,00;19,00;10,00;0,00;0,00;40,00;155,00;206,00;127,00;493,00;2820,00;305,00;304,00;29,00
"201312";"08010214";"08";"01";"02";"14";"1";2855,00;1505,00;1350,00;9,00;23,00;18,00;38,00;11,00;14,00;24,00;12,00;29,00;31,00;54,00;81,00;104,00;225,00;141,00;196,00;377,00;317,00;283,00;256,00;173,00;161,00;51,00;46,00;27,00;43,00;48,00;34,00;26,00;0,00;3,00;0,00;9,00;90,00;164,00;81,00;329,00;1743,00;258,00;152,00;29,00
"201312";"08010301";"08";"01";"03";"01";"1";8273,00;4312,00;3961,00;28,00;27,00;30,00;47,00;27,00;17,00;31,00;40,00;44,00;42,00;47,00;108,00;168,00;549,00;487,00;933,00;1526,00;1109,00;757,00;628,00;440,00;297,00;173,00;123,00;131,00;134,00;184,00;97,00;37,00;9,00;3,00;0,00;28,00;131,00;221,00;108,00;717,00;5880,00;593,00;546,00;49,00
"201312";"08010302";"08";"01";"03";"02";"1";692,00;348,00;344,00;3,00;0,00;4,00;9,00;0,00;7,00;6,00;9,00;10,00;0,00;3,00;22,00;9,00;32,00;30,00;62,00;100,00;92,00;65,00;51,00;42,00;44,00;10,00;15,00;25,00;9,00;15,00;18,00;0,00;0,00;0,00;0,00;3,00;13,00;35,00;22,00;41,00;442,00;69,00;67,00;0,00
"201312";"08010303";"08";"01";"03";"03";"1";3356,00;1759,00;1597,00;23,00;9,00;18,00;46,00;15,00;9,00;12,00;30,00;21,00;36,00;22,00;80,00;81,00;313,00;206,00;329,00;534,00;341,00;292,00;245,00;187,00;142,00;65,00;52,00;36,00;67,00;85,00;44,00;6,00;10,00;0,00;0,00;23,00;88,00;130,00;80,00;394,00;2134,00;259,00;232,00;16,00
"201312";"08010404";"08";"01";"04";"04";"1";7784,00;4214,00;3570,00;50,00;72,00;54,00;94,00;53,00;50,00;38,00;115,00;68,00;76,00;68,00;195,00;232,00;585,00;469,00;711,00;1118,00;877,00;641,00;584,00;417,00;346,00;159,00;128,00;127,00;157,00;141,00;113,00;33,00;6,00;7,00;0,00;50,00;273,00;415,00;195,00;817,00;4817,00;633,00;538,00;46,00
