"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_E00_01";"MH_E01_02";"MH_E02_03";"MH_E03_05";"MH_E05_06";"MH_E06_07";"MH_E07_08";"MH_E08_10";"MH_E10_12";"MH_E12_14";"MH_E14_15";"MH_E15_18";"MH_E18_21";"MH_E21_25";"MH_E25_27";"MH_E27_30";"MH_E30_35";"MH_E35_40";"MH_E40_45";"MH_E45_50";"MH_E50_55";"MH_E55_60";"MH_E60_63";"MH_E63_65";"MH_E65_67";"MH_E67_70";"MH_E70_75";"MH_E75_80";"MH_E80_85";"MH_E85_90";"MH_E90_95";"MH_E95_110";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110"
"201212";"12214423";"12";"21";"44";"23";"2";1755,00;867,00;888,00;18,00;24,00;12,00;64,00;32,00;36,00;18,00;42,00;46,00;39,00;28,00;52,00;53,00;116,00;42,00;87,00;172,00;129,00;125,00;129,00;117,00;99,00;72,00;33,00;33,00;39,00;49,00;28,00;12,00;9,00;0,00;0,00;18,00;132,00;209,00;52,00;169,00;801,00;204,00;149,00;21,00
"201212";"12214424";"12";"21";"44";"24";"2";3858,00;2002,00;1856,00;82,00;72,00;68,00;108,00;65,00;60,00;66,00;99,00;92,00;108,00;49,00;144,00;127,00;242,00;141,00;214,00;329,00;390,00;331,00;328,00;189,00;160,00;111,00;67,00;40,00;54,00;64,00;40,00;15,00;3,00;0,00;0,00;82,00;313,00;474,00;144,00;369,00;1922,00;338,00;198,00;18,00
"201212";"12214527";"12";"21";"45";"27";"2";1691,00;825,00;866,00;29,00;13,00;21,00;46,00;21,00;19,00;22,00;48,00;51,00;45,00;24,00;50,00;50,00;79,00;53,00;73,00;136,00;126,00;139,00;154,00;103,00;98,00;43,00;47,00;30,00;47,00;47,00;50,00;12,00;15,00;0,00;0,00;29,00;101,00;209,00;50,00;129,00;784,00;188,00;174,00;27,00
"201212";"12214528";"12";"21";"45";"28";"2";68,00;33,00;35,00;0,00;3,00;0,00;0,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;10,00;10,00;3,00;0,00;12,00;0,00;6,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;6,00;9,00;0,00;20,00;24,00;3,00;3,00;3,00
"201212";"12224229";"12";"22";"42";"29";"2";685,00;355,00;330,00;9,00;12,00;6,00;15,00;12,00;9,00;14,00;27,00;21,00;40,00;15,00;39,00;13,00;25,00;16,00;15,00;19,00;45,00;55,00;67,00;55,00;54,00;27,00;3,00;24,00;6,00;18,00;12,00;9,00;3,00;0,00;0,00;9,00;45,00;126,00;39,00;38,00;272,00;84,00;60,00;12,00
"201212";"12224230";"12";"22";"42";"30";"2";1829,00;838,00;991,00;22,00;21,00;37,00;51,00;25,00;21,00;15,00;60,00;57,00;79,00;36,00;97,00;40,00;78,00;37,00;32,00;87,00;118,00;152,00;147,00;125,00;145,00;89,00;57,00;40,00;35,00;63,00;33,00;18,00;9,00;3,00;0,00;22,00;134,00;268,00;97,00;118,00;698,00;291,00;171,00;30,00
"201212";"12231101";"12";"23";"11";"01";"2";1711,00;838,00;873,00;16,00;12,00;12,00;53,00;28,00;31,00;28,00;52,00;65,00;56,00;46,00;116,00;37,00;40,00;31,00;52,00;89,00;99,00;123,00;151,00;154,00;96,00;95,00;31,00;34,00;69,00;52,00;21,00;15,00;4,00;3,00;0,00;16,00;105,00;278,00;116,00;77,00;699,00;222,00;176,00;22,00
"201212";"12231102";"12";"23";"11";"02";"2";1828,00;843,00;985,00;18,00;15,00;30,00;57,00;30,00;34,00;23,00;76,00;74,00;59,00;40,00;119,00;34,00;38,00;19,00;35,00;75,00;100,00;144,00;179,00;147,00;135,00;77,00;53,00;34,00;50,00;67,00;30,00;15,00;12,00;6,00;3,00;18,00;132,00;306,00;119,00;72,00;699,00;265,00;181,00;36,00
"201212";"12301203";"12";"30";"12";"03";"2";2595,00;1426,00;1169,00;6,00;17,00;36,00;72,00;41,00;36,00;32,00;43,00;71,00;94,00;16,00;100,00;72,00;157,00;72,00;113,00;221,00;209,00;232,00;170,00;221,00;158,00;113,00;56,00;49,00;74,00;63,00;21,00;12,00;18,00;0,00;0,00;6,00;166,00;292,00;100,00;229,00;1238,00;327,00;207,00;30,00
"201212";"12301204";"12";"30";"12";"04";"2";1081,00;501,00;580,00;15,00;16,00;15,00;33,00;9,00;19,00;16,00;28,00;35,00;44,00;21,00;54,00;49,00;38,00;31,00;38,00;65,00;59,00;106,00;109,00;120,00;37,00;35,00;15,00;13,00;13,00;19,00;17,00;9,00;0,00;3,00;0,00;15,00;73,00;163,00;54,00;87,00;528,00;87,00;62,00;12,00
"201212";"12301205";"12";"30";"12";"05";"2";703,00;370,00;333,00;9,00;3,00;15,00;21,00;13,00;13,00;6,00;18,00;57,00;19,00;12,00;37,00;24,00;33,00;16,00;25,00;27,00;51,00;52,00;64,00;52,00;39,00;18,00;9,00;18,00;10,00;24,00;6,00;6,00;0,00;3,00;3,00;9,00;52,00;125,00;37,00;57,00;287,00;66,00;58,00;12,00
"201212";"12301206";"12";"30";"12";"06";"2";595,00;293,00;302,00;3,00;9,00;9,00;30,00;3,00;12,00;9,00;17,00;16,00;13,00;13,00;34,00;22,00;18,00;3,00;15,00;25,00;39,00;65,00;38,00;47,00;49,00;18,00;13,00;13,00;18,00;25,00;9,00;10,00;0,00;0,00;0,00;3,00;51,00;80,00;34,00;40,00;232,00;80,00;65,00;10,00
"201212";"12302107";"12";"30";"21";"07";"2";927,00;456,00;471,00;3,00;12,00;3,00;30,00;6,00;12,00;16,00;47,00;29,00;28,00;18,00;53,00;30,00;50,00;30,00;24,00;57,00;67,00;87,00;91,00;64,00;54,00;28,00;21,00;12,00;25,00;12,00;15,00;0,00;3,00;0,00;0,00;3,00;51,00;150,00;53,00;80,00;420,00;103,00;64,00;3,00
"201212";"12302108";"12";"30";"21";"08";"2";4662,00;2285,00;2377,00;69,00;77,00;104,00;178,00;102,00;102,00;94,00;199,00;178,00;177,00;94,00;269,00;156,00;219,00;136,00;176,00;357,00;351,00;345,00;286,00;228,00;244,00;124,00;75,00;56,00;57,00;98,00;53,00;25,00;18,00;12,00;3,00;69,00;461,00;844,00;269,00;375,00;1879,00;443,00;264,00;58,00
"201212";"12302109";"12";"30";"21";"09";"2";4556,00;2286,00;2270,00;80,00;89,00;90,00;204,00;127,00;78,00;87,00;167,00;158,00;189,00;91,00;240,00;153,00;225,00;138,00;215,00;388,00;343,00;359,00;263,00;253,00;218,00;82,00;59,00;52,00;40,00;76,00;55,00;21,00;9,00;3,00;4,00;80,00;510,00;770,00;240,00;378,00;1959,00;359,00;223,00;37,00
"201212";"12302110";"12";"30";"21";"10";"2";4269,00;2112,00;2157,00;90,00;72,00;104,00;185,00;86,00;104,00;91,00;178,00;177,00;169,00;71,00;236,00;187,00;239,00;127,00;163,00;309,00;326,00;314,00;280,00;246,00;185,00;86,00;51,00;29,00;47,00;62,00;30,00;16,00;9,00;0,00;0,00;90,00;447,00;790,00;236,00;426,00;1765,00;322,00;168,00;25,00
"201212";"12302211";"12";"30";"22";"11";"2";663,00;328,00;335,00;9,00;7,00;6,00;6,00;3,00;3,00;6,00;18,00;21,00;18,00;16,00;38,00;19,00;49,00;21,00;25,00;31,00;42,00;55,00;85,00;38,00;42,00;27,00;18,00;15,00;11,00;22,00;6,00;6,00;0,00;0,00;0,00;9,00;22,00;82,00;38,00;68,00;297,00;87,00;54,00;6,00
"201212";"12302212";"12";"30";"22";"12";"2";1490,00;756,00;734,00;26,00;19,00;15,00;45,00;25,00;40,00;19,00;53,00;46,00;50,00;29,00;96,00;59,00;90,00;39,00;35,00;92,00;124,00;109,00;92,00;96,00;102,00;47,00;21,00;18,00;24,00;33,00;18,00;21,00;4,00;0,00;3,00;26,00;104,00;237,00;96,00;149,00;587,00;170,00;93,00;28,00
"201212";"12304313";"12";"30";"43";"13";"2";1035,00;514,00;521,00;31,00;13,00;12,00;18,00;9,00;18,00;10,00;31,00;9,00;29,00;6,00;28,00;35,00;45,00;21,00;49,00;76,00;78,00;81,00;118,00;65,00;60,00;33,00;12,00;27,00;25,00;42,00;33,00;15,00;0,00;3,00;3,00;31,00;52,00;103,00;28,00;80,00;488,00;105,00;127,00;21,00
"201212";"12304314";"12";"30";"43";"14";"2";1146,00;556,00;590,00;7,00;21,00;10,00;21,00;19,00;13,00;10,00;28,00;16,00;33,00;6,00;44,00;28,00;18,00;24,00;38,00;98,00;96,00;128,00;81,00;82,00;89,00;42,00;31,00;46,00;39,00;54,00;18,00;3,00;3,00;0,00;0,00;7,00;71,00;106,00;44,00;46,00;547,00;162,00;157,00;6,00
