"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"E_A";"E_AM";"E_AW";"E_A00_01";"E_A01_02";"E_A02_03";"E_A03_05";"E_A05_06";"E_A06_07";"E_A07_08";"E_A08_10";"E_A10_12";"E_A12_14";"E_A14_15";"E_A15_18";"E_A18_21";"E_A21_25";"E_A25_27";"E_A27_30";"E_A30_35";"E_A35_40";"E_A40_45";"E_A45_50";"E_A50_55";"E_A55_60";"E_A60_63";"E_A63_65";"E_A65_67";"E_A67_70";"E_A70_75";"E_A75_80";"E_A80_85";"E_A85_90";"E_A90_95";"E_A95_110";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110"
"201512";"01011101";"01";"01";"11";"01";"1";1161,00;642,00;519,00;3,00;9,00;0,00;16,00;3,00;3,00;6,00;6,00;6,00;9,00;3,00;9,00;45,00;193,00;75,00;117,00;161,00;109,00;70,00;70,00;61,00;76,00;15,00;15,00;12,00;9,00;21,00;12,00;15,00;9,00;3,00;0,00;3,00;28,00;33,00;9,00;238,00;663,00;106,00;54,00;27,00
"201512";"01011102";"01";"01";"11";"02";"1";63,00;39,00;24,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;6,00;12,00;6,00;9,00;9,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;9,00;45,00;3,00;3,00;0,00
"201512";"01011103";"01";"01";"11";"03";"1";2103,00;1215,00;888,00;9,00;16,00;15,00;32,00;13,00;22,00;15,00;38,00;41,00;21,00;15,00;40,00;97,00;196,00;118,00;175,00;230,00;249,00;161,00;118,00;118,00;108,00;57,00;24,00;27,00;51,00;37,00;35,00;12,00;10,00;3,00;0,00;9,00;76,00;152,00;40,00;293,00;1169,00;189,00;150,00;25,00
"201512";"01011104";"01";"01";"11";"04";"1";1689,00;910,00;779,00;9,00;7,00;12,00;16,00;6,00;3,00;3,00;15,00;3,00;6,00;3,00;30,00;83,00;232,00;127,00;194,00;236,00;172,00;123,00;126,00;95,00;63,00;25,00;21,00;18,00;12,00;12,00;15,00;12,00;10,00;0,00;0,00;9,00;41,00;33,00;30,00;315,00;1073,00;109,00;57,00;22,00
"201512";"01011105";"01";"01";"11";"05";"1";453,00;238,00;215,00;6,00;0,00;3,00;19,00;6,00;9,00;3,00;3,00;6,00;3,00;6,00;6,00;15,00;19,00;22,00;29,00;55,00;50,00;42,00;51,00;27,00;28,00;15,00;3,00;6,00;9,00;0,00;3,00;6,00;3,00;0,00;0,00;6,00;28,00;30,00;6,00;34,00;276,00;46,00;18,00;9,00
"201512";"01011201";"01";"01";"12";"01";"1";648,00;368,00;280,00;6,00;0,00;3,00;9,00;0,00;0,00;6,00;3,00;6,00;12,00;6,00;12,00;12,00;46,00;31,00;40,00;87,00;64,00;74,00;55,00;46,00;39,00;29,00;18,00;3,00;16,00;6,00;12,00;3,00;4,00;0,00;0,00;6,00;12,00;33,00;12,00;58,00;397,00;86,00;37,00;7,00
"201512";"01011202";"01";"01";"12";"02";"1";183,00;87,00;96,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;3,00;9,00;3,00;6,00;0,00;0,00;13,00;17,00;11,00;40,00;30,00;15,00;3,00;3,00;9,00;6,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;24,00;0,00;13,00;119,00;15,00;9,00;0,00
"201512";"01011203";"01";"01";"12";"03";"1";355,00;186,00;169,00;0,00;0,00;3,00;6,00;3,00;0,00;0,00;4,00;0,00;3,00;0,00;3,00;6,00;22,00;30,00;40,00;41,00;50,00;21,00;36,00;30,00;24,00;9,00;3,00;6,00;9,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;12,00;7,00;3,00;28,00;248,00;36,00;21,00;0,00
"201512";"01011204";"01";"01";"12";"04";"1";1826,00;915,00;911,00;21,00;6,00;9,00;18,00;12,00;12,00;9,00;20,00;29,00;12,00;9,00;31,00;48,00;131,00;97,00;191,00;266,00;194,00;164,00;157,00;98,00;95,00;46,00;12,00;24,00;40,00;34,00;22,00;9,00;7,00;3,00;0,00;21,00;45,00;91,00;31,00;179,00;1167,00;153,00;120,00;19,00
"201512";"01011301";"01";"01";"13";"01";"1";1662,00;852,00;810,00;10,00;18,00;9,00;13,00;9,00;6,00;0,00;15,00;9,00;15,00;6,00;4,00;33,00;109,00;116,00;217,00;312,00;240,00;174,00;118,00;84,00;34,00;30,00;12,00;21,00;15,00;18,00;15,00;0,00;0,00;0,00;0,00;10,00;49,00;51,00;4,00;142,00;1261,00;76,00;69,00;0,00
"201512";"01011302";"01";"01";"13";"02";"1";3047,00;1541,00;1506,00;15,00;18,00;12,00;27,00;9,00;16,00;15,00;25,00;15,00;18,00;10,00;18,00;49,00;213,00;227,00;370,00;593,00;457,00;349,00;234,00;131,00;86,00;22,00;24,00;30,00;21,00;22,00;12,00;3,00;6,00;0,00;0,00;15,00;66,00;99,00;18,00;262,00;2361,00;132,00;85,00;9,00
"201512";"01011303";"01";"01";"13";"03";"1";2534,00;1377,00;1157,00;9,00;19,00;9,00;22,00;12,00;3,00;6,00;21,00;21,00;12,00;6,00;28,00;56,00;240,00;222,00;323,00;509,00;311,00;224,00;143,00;125,00;75,00;32,00;27,00;22,00;15,00;18,00;6,00;9,00;6,00;3,00;0,00;9,00;62,00;69,00;28,00;296,00;1857,00;134,00;61,00;18,00
"201512";"01011304";"01";"01";"13";"04";"1";1711,00;846,00;865,00;3,00;6,00;12,00;18,00;15,00;9,00;12,00;13,00;22,00;24,00;15,00;28,00;57,00;152,00;101,00;166,00;253,00;209,00;143,00;160,00;108,00;74,00;21,00;15,00;12,00;6,00;21,00;15,00;6,00;9,00;6,00;0,00;3,00;51,00;95,00;28,00;209,00;1140,00;110,00;54,00;21,00
"201512";"01011305";"01";"01";"13";"05";"1";1476,00;835,00;641,00;8,00;6,00;12,00;21,00;9,00;9,00;0,00;15,00;9,00;18,00;6,00;24,00;21,00;98,00;78,00;163,00;243,00;186,00;169,00;127,00;95,00;52,00;27,00;15,00;4,00;24,00;25,00;12,00;0,00;0,00;0,00;0,00;8,00;48,00;57,00;24,00;119,00;1061,00;94,00;65,00;0,00
"201512";"01011306";"01";"01";"13";"06";"1";2023,00;1065,00;958,00;15,00;9,00;9,00;12,00;3,00;9,00;9,00;3,00;18,00;19,00;6,00;30,00;93,00;227,00;138,00;222,00;331,00;252,00;169,00;152,00;108,00;72,00;27,00;12,00;21,00;18,00;18,00;6,00;15,00;0,00;0,00;0,00;15,00;33,00;64,00;30,00;320,00;1372,00;111,00;63,00;15,00
"201512";"01011401";"01";"01";"14";"01";"1";4184,00;2132,00;2052,00;25,00;21,00;34,00;61,00;18,00;28,00;34,00;45,00;40,00;40,00;16,00;56,00;92,00;303,00;274,00;550,00;862,00;625,00;420,00;263,00;149,00;99,00;36,00;12,00;21,00;12,00;15,00;15,00;12,00;6,00;0,00;0,00;25,00;134,00;203,00;56,00;395,00;3143,00;147,00;63,00;18,00
"201512";"01011402";"01";"01";"14";"02";"1";3117,00;1537,00;1580,00;19,00;22,00;21,00;39,00;13,00;7,00;12,00;21,00;19,00;6,00;12,00;14,00;51,00;188,00;184,00;446,00;761,00;479,00;334,00;199,00;110,00;61,00;21,00;18,00;15,00;15,00;17,00;13,00;0,00;0,00;0,00;0,00;19,00;95,00;77,00;14,00;239,00;2513,00;100,00;60,00;0,00
"201512";"01022101";"01";"02";"21";"01";"1";1204,00;679,00;525,00;9,00;9,00;9,00;23,00;12,00;12,00;3,00;9,00;6,00;6,00;9,00;21,00;42,00;142,00;83,00;101,00;157,00;106,00;92,00;86,00;93,00;60,00;24,00;6,00;15,00;21,00;15,00;18,00;9,00;6,00;0,00;0,00;9,00;53,00;45,00;21,00;184,00;718,00;90,00;69,00;15,00
"201512";"01022102";"01";"02";"21";"02";"1";2520,00;1390,00;1130,00;15,00;12,00;18,00;35,00;9,00;9,00;15,00;30,00;22,00;18,00;9,00;58,00;95,00;176,00;128,00;240,00;326,00;255,00;248,00;216,00;160,00;125,00;64,00;46,00;30,00;64,00;46,00;30,00;21,00;0,00;0,00;0,00;15,00;74,00;103,00;58,00;271,00;1573,00;235,00;170,00;21,00
"201512";"01022103";"01";"02";"21";"03";"1";118,00;61,00;57,00;3,00;0,00;3,00;0,00;3,00;3,00;0,00;4,00;0,00;0,00;0,00;6,00;4,00;6,00;3,00;13,00;22,00;15,00;6,00;9,00;6,00;6,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;6,00;7,00;6,00;10,00;74,00;9,00;3,00;0,00
"201512";"01022104";"01";"02";"21";"04";"1";5339,00;2915,00;2424,00;22,00;18,00;15,00;43,00;22,00;20,00;30,00;30,00;34,00;30,00;15,00;57,00;165,00;404,00;308,00;491,00;722,00;575,00;517,00;454,00;360,00;280,00;147,00;87,00;87,00;112,00;159,00;102,00;18,00;6,00;6,00;3,00;22,00;98,00;159,00;57,00;569,00;3427,00;514,00;460,00;33,00
"201512";"01022105";"01";"02";"21";"05";"1";1829,00;960,00;869,00;9,00;10,00;12,00;21,00;15,00;7,00;6,00;21,00;24,00;25,00;10,00;30,00;70,00;156,00;101,00;145,00;218,00;192,00;148,00;159,00;129,00;93,00;41,00;24,00;38,00;28,00;43,00;27,00;24,00;3,00;0,00;0,00;9,00;58,00;93,00;30,00;226,00;1092,00;158,00;136,00;27,00
"201512";"01022106";"01";"02";"21";"06";"1";2288,00;1212,00;1076,00;3,00;9,00;7,00;25,00;21,00;18,00;16,00;30,00;15,00;19,00;9,00;58,00;69,00;181,00;116,00;223,00;337,00;277,00;180,00;151,00;157,00;99,00;59,00;33,00;37,00;45,00;58,00;21,00;9,00;6,00;0,00;0,00;3,00;62,00;107,00;58,00;250,00;1441,00;191,00;161,00;15,00
