ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200712;04030725;04;03;07;25;1;2393;1220;1173;3;6;0;23;3;3;13;24;15;31;3;39;56;162;116;253;266;282;219;245;167;153;79;33;35;55;49;30;18;3;3;6;3;32;89;39;218;1548;265;169;30
200712;04030726;04;03;07;26;1;1233;602;631;6;0;7;12;3;9;0;19;18;0;18;12;44;71;49;43;137;157;116;159;98;70;39;16;25;15;30;18;18;15;6;3;6;22;64;12;115;759;125;88;42
200712;04030827;04;03;08;27;1;3233;1742;1491;12;12;10;21;13;3;9;49;42;35;12;75;93;147;127;225;375;384;331;277;257;234;117;79;45;67;106;35;20;6;9;6;12;56;150;75;240;1976;430;253;41
200712;04030828;04;03;08;28;1;2247;1179;1068;6;3;7;6;3;9;3;3;27;9;15;36;73;113;97;124;307;274;277;203;173;159;88;33;31;46;51;38;9;12;6;6;6;19;66;36;186;1455;280;166;33
200712;04030929;04;03;09;29;1;1313;679;634;4;0;0;6;0;0;3;16;3;28;0;23;24;58;33;83;137;131;147;147;100;129;55;30;28;41;30;27;15;9;3;3;4;6;50;23;82;778;214;126;30
200712;04030930;04;03;09;30;1;1265;705;560;3;3;6;6;6;3;0;6;16;6;0;28;26;63;37;51;106;145;172;129;124;114;48;36;22;19;25;24;21;11;3;6;3;21;31;28;89;764;198;90;41
200712;04030931;04;03;09;31;1;982;512;470;0;3;0;0;0;3;3;7;3;12;6;7;22;49;27;48;110;127;112;114;71;62;33;21;23;27;40;18;21;4;6;3;0;3;34;7;71;609;116;108;34
200712;04031032;04;03;10;32;1;2576;1250;1326;0;6;0;18;9;12;9;30;28;30;12;34;70;113;90;159;300;307;265;262;204;201;97;54;25;56;67;28;51;24;6;9;0;33;121;34;183;1587;352;176;90
200712;04041133;04;04;11;33;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
200712;04041134;04;04;11;34;2;906;398;508;0;6;9;3;6;0;9;6;6;12;0;24;16;89;74;40;83;79;94;78;61;61;27;16;18;24;25;13;15;9;3;0;0;24;33;24;105;509;104;80;27
200712;04041135;04;04;11;35;2;438;191;247;0;0;0;3;0;0;0;6;9;0;4;9;9;18;12;18;18;52;57;48;30;51;24;7;6;15;21;9;6;3;3;0;0;3;19;9;27;235;82;51;12
200712;04041136;04;04;11;36;2;408;201;207;0;0;0;0;3;3;8;7;6;6;6;12;13;9;3;22;31;36;38;47;53;41;15;6;10;9;9;9;3;0;3;0;0;3;36;12;22;230;62;37;6
200712;04041137;04;04;11;37;2;1022;469;553;0;6;4;12;0;9;3;6;19;12;3;22;38;60;40;86;114;122;96;77;73;73;28;22;25;24;24;9;12;3;0;0;0;22;52;22;98;608;123;82;15
200712;04041238;04;04;12;38;2;592;291;301;6;0;3;6;6;6;6;16;6;12;7;12;12;19;4;23;70;84;57;46;59;39;18;15;3;12;9;12;9;3;9;3;6;15;53;12;31;343;72;36;24
200712;04041239;04;04;12;39;2;36;19;17;0;0;0;3;0;0;0;0;0;0;0;0;0;3;3;0;0;9;0;7;4;0;4;0;0;0;0;0;0;3;0;0;0;3;0;0;3;23;4;0;3
200712;04041240;04;04;12;40;2;182;83;99;0;3;0;0;6;0;0;6;0;3;0;3;6;9;0;0;12;18;24;36;18;10;3;3;0;7;3;6;6;0;0;0;0;9;9;3;15;108;16;16;6
200712;04041241;04;04;12;41;2;542;263;279;0;0;3;0;6;0;3;15;9;4;6;18;0;15;21;27;48;51;67;57;57;43;18;22;6;15;9;6;13;3;0;0;0;9;37;18;15;328;83;36;16
200712;04041342;04;04;13;42;2;595;286;309;0;0;0;0;3;0;6;0;6;12;0;9;15;9;15;44;63;76;49;65;63;33;28;9;7;15;31;13;12;12;0;0;0;3;24;9;24;375;70;66;24
200712;04041343;04;04;13;43;2;423;205;218;0;3;3;3;0;0;3;12;6;3;0;10;0;32;6;22;42;57;44;54;26;38;19;6;3;6;9;6;10;0;0;0;0;9;24;10;32;251;63;24;10
200712;04041344;04;04;13;44;2;1460;780;680;6;9;3;22;9;9;0;26;18;19;18;22;18;43;41;58;151;188;179;131;125;127;46;38;38;33;35;30;12;3;3;0;6;43;90;22;61;873;211;136;18
200712;04051445;04;05;14;45;1;990;513;477;3;3;0;6;12;6;3;10;21;10;9;9;19;57;44;65;109;160;94;84;50;82;30;21;15;24;25;13;6;0;0;0;3;21;59;9;76;606;133;77;6
200712;04051446;04;05;14;46;1;1829;949;880;10;9;7;28;0;7;3;9;21;15;10;30;57;77;51;142;198;174;185;195;143;159;73;26;27;48;36;21;29;24;15;0;10;44;65;30;134;1088;258;132;68
200712;04051447;04;05;14;47;1;1060;521;539;3;4;3;6;9;3;0;12;9;17;3;17;26;83;33;63;103;150;115;107;88;68;42;15;7;25;34;6;6;0;3;0;3;22;44;17;109;659;125;72;9
200712;04051448;04;05;14;48;1;1802;911;891;3;0;0;6;6;0;3;18;33;18;3;16;33;120;72;109;193;208;189;160;136;176;66;40;43;30;39;36;15;15;10;6;3;12;75;16;153;1067;282;148;46
200712;04051549;04;05;15;49;1;750;381;369;0;3;3;15;3;10;9;11;15;18;3;22;32;37;36;54;85;76;76;64;77;33;16;7;6;12;12;3;3;9;0;0;0;24;66;22;69;468;56;33;12
200712;04051550;04;05;15;50;1;966;501;465;6;0;6;3;7;3;3;13;9;12;6;21;9;27;43;95;114;102;99;98;85;75;33;12;21;27;15;13;3;3;0;3;6;16;46;21;36;636;120;76;9
200712;04051551;04;05;15;51;1;718;360;358;6;0;3;0;0;0;4;6;9;6;6;12;13;46;42;46;79;85;71;63;73;50;27;19;10;18;9;3;6;3;0;3;6;3;31;12;59;459;96;40;12
200712;04051652;04;05;16;52;1;1634;843;791;9;0;6;9;6;7;7;28;15;16;8;19;27;46;66;92;186;179;182;158;154;124;61;38;40;28;55;34;21;6;7;0;9;21;81;19;73;1017;223;157;34
200712;04051653;04;05;16;53;1;1104;592;512;6;0;3;6;0;3;0;6;6;6;3;17;34;61;21;75;121;149;110;115;84;78;56;25;9;29;26;31;12;9;0;3;6;9;24;17;95;675;159;95;24
200712;04051654;04;05;16;54;1;473;238;235;0;3;3;3;0;0;0;6;0;6;9;10;6;12;15;31;58;66;52;42;46;39;24;6;0;18;9;3;0;0;3;3;0;9;21;10;18;310;69;30;6
200712;04051655;04;05;16;55;1;1199;591;608;6;3;3;6;6;9;0;19;24;15;0;37;34;74;39;87;117;164;125;89;72;84;45;18;18;23;27;28;21;6;0;0;6;18;67;37;108;693;147;96;27
200712;04051656;04;05;16;56;1;929;487;442;0;6;6;13;0;0;9;9;15;12;7;20;27;65;31;65;105;93;84;105;47;79;21;15;13;18;34;18;3;9;0;0;0;25;52;20;92;530;115;83;12
200712;04061757;04;06;17;57;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
200712;05010101;05;01;01;01;2;984;508;476;12;6;6;18;12;15;9;21;22;22;9;34;21;48;37;98;114;121;89;51;48;66;18;9;15;15;9;21;12;3;3;0;12;42;98;34;69;558;93;60;18
200712;05010102;05;01;01;02;2;329;167;162;0;0;0;0;0;0;0;3;6;3;6;7;3;28;13;27;18;43;30;15;36;32;18;0;13;3;7;6;9;3;0;0;0;0;18;7;31;182;50;29;12
200712;05010103;05;01;01;03;2;351;152;199;0;3;0;0;3;3;0;0;9;6;0;6;21;22;6;9;43;55;21;40;40;21;3;13;3;9;3;3;3;3;3;0;0;6;18;6;43;214;37;18;9
200712;05010204;05;01;02;04;2;259;113;146;6;0;0;0;0;3;3;0;9;0;4;3;13;15;3;18;27;37;30;21;12;13;12;0;3;6;15;6;0;0;0;0;6;0;19;3;28;148;25;30;0
200712;05010205;05;01;02;05;2;150;62;88;0;0;0;0;0;0;0;6;9;6;0;6;9;3;0;14;9;20;15;15;13;12;3;3;0;3;0;0;4;0;0;0;0;0;21;6;12;86;18;3;4
200712;05010206;05;01;02;06;2;718;373;345;0;0;3;3;0;6;0;9;18;22;6;28;21;30;21;34;90;65;88;64;48;46;30;0;9;27;28;7;6;6;3;0;0;6;61;28;51;410;76;71;15
200712;05010207;05;01;02;07;2;1350;680;670;0;6;3;4;6;3;0;43;24;41;12;49;49;63;47;100;160;173;111;114;92;71;46;28;22;29;27;15;6;3;3;0;0;19;123;49;112;797;145;93;12
200712;05010208;05;01;02;08;2;740;394;346;7;0;3;3;3;0;3;9;7;6;3;27;24;37;26;53;111;66;52;51;58;46;42;24;15;27;6;19;9;3;0;0;7;9;28;27;61;417;112;67;12
200712;05010209;05;01;02;09;2;457;209;248;3;0;3;0;0;3;7;7;3;9;7;16;9;31;17;19;46;43;46;51;25;42;16;6;9;6;21;6;3;3;0;0;3;3;36;16;40;247;64;42;6
200712;05010310;05;01;03;10;2;330;170;160;0;3;0;0;0;0;3;3;9;4;0;9;6;15;16;18;59;30;45;29;22;19;3;6;6;3;12;4;3;0;3;0;0;3;19;9;21;219;28;25;6
