ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
201012;01011101;01;01;11;01;1;666;389;277;3;3;12;6;0;3;0;3;3;6;0;9;22;45;46;48;100;82;63;52;40;31;22;15;3;16;6;18;9;0;0;0;3;21;15;9;67;431;68;43;9
201012;01011102;01;01;11;02;1;15;9;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0
201012;01011103;01;01;11;03;1;1413;724;689;18;21;0;9;10;21;9;21;25;24;12;42;70;129;57;88;144;139;118;94;95;84;44;31;15;18;37;16;10;9;3;0;18;40;112;42;199;735;159;86;22
201012;01011104;01;01;11;04;1;1248;638;610;0;0;7;9;9;3;3;9;16;19;9;50;49;141;92;140;157;105;101;109;74;25;27;19;13;10;18;18;10;6;0;0;0;25;59;50;190;778;71;59;16
201012;01011105;01;01;11;05;1;234;120;114;0;0;0;6;3;0;0;0;6;3;0;3;3;6;3;26;33;20;25;27;19;30;12;0;0;0;3;3;3;0;0;0;0;9;9;3;9;153;42;6;3
201012;01011201;01;01;12;01;1;578;331;247;0;6;6;6;3;3;0;6;9;6;7;12;19;27;18;44;43;82;52;70;37;56;21;9;9;9;9;9;0;0;0;0;0;21;31;12;46;346;86;36;0
201012;01011202;01;01;12;02;1;82;39;43;0;0;0;0;0;3;0;0;0;0;0;0;3;3;6;3;18;13;9;0;3;9;0;0;3;6;0;3;0;0;0;0;0;0;3;0;6;52;9;12;0
201012;01011203;01;01;12;03;1;225;105;120;0;0;0;3;0;3;0;0;0;6;3;7;3;16;15;16;27;26;12;27;15;9;7;6;3;6;6;6;3;0;0;0;0;3;12;7;19;138;22;21;3
201012;01011204;01;01;12;04;1;1072;536;536;6;3;10;13;9;9;12;9;6;9;4;24;18;86;61;85;162;126;121;66;67;59;28;21;9;9;16;9;9;6;0;0;6;35;49;24;104;688;108;43;15
201012;01011301;01;01;13;01;1;918;474;444;9;0;6;15;6;0;6;3;9;3;3;3;16;74;57;89;212;131;85;76;43;28;17;9;3;6;6;3;0;0;0;0;9;27;24;3;90;693;54;18;0
201012;01011302;01;01;13;02;1;2185;1052;1133;0;15;9;25;0;6;3;21;19;15;6;21;45;212;175;283;371;350;237;151;81;54;32;15;9;6;12;3;0;6;0;3;0;49;70;21;257;1648;101;30;9
201012;01011303;01;01;13;03;1;1560;780;780;12;15;15;9;0;6;0;12;12;6;15;24;52;177;123;172;259;198;143;132;60;48;12;6;12;6;19;12;3;0;0;0;12;39;51;24;229;1087;66;49;3
