"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_E00_01";"MH_E01_02";"MH_E02_03";"MH_E03_05";"MH_E05_06";"MH_E06_07";"MH_E07_08";"MH_E08_10";"MH_E10_12";"MH_E12_14";"MH_E14_15";"MH_E15_18";"MH_E18_21";"MH_E21_25";"MH_E25_27";"MH_E27_30";"MH_E30_35";"MH_E35_40";"MH_E40_45";"MH_E45_50";"MH_E50_55";"MH_E55_60";"MH_E60_63";"MH_E63_65";"MH_E65_67";"MH_E67_70";"MH_E70_75";"MH_E75_80";"MH_E80_85";"MH_E85_90";"MH_E90_95";"MH_E95_110";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110"
"201112";"01011101";"01";"01";"11";"01";"1";1260,00;645,00;615,00;28,00;3,00;6,00;21,00;0,00;6,00;0,00;30,00;6,00;16,00;3,00;31,00;47,00;123,00;61,00;85,00;134,00;116,00;95,00;63,00;82,00;89,00;39,00;24,00;25,00;33,00;52,00;15,00;18,00;6,00;3,00;0,00;28,00;30,00;61,00;31,00;170,00;636,00;152,00;125,00;27,00
"201112";"01011102";"01";"01";"11";"02";"1";39,00;24,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;6,00;9,00;3,00;9,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;33,00;0,00;0,00;0,00
"201112";"01011103";"01";"01";"11";"03";"1";2518,00;1337,00;1181,00;24,00;28,00;26,00;54,00;38,00;34,00;38,00;55,00;77,00;58,00;24,00;87,00;111,00;188,00;100,00;141,00;233,00;197,00;178,00;182,00;192,00;134,00;76,00;35,00;41,00;36,00;54,00;32,00;24,00;12,00;3,00;6,00;24,00;146,00;286,00;87,00;299,00;1223,00;245,00;163,00;45,00
"201112";"01011104";"01";"01";"11";"04";"1";2398,00;1250,00;1148,00;22,00;32,00;44,00;90,00;40,00;30,00;33,00;49,00;66,00;76,00;25,00;81,00;104,00;231,00;135,00;215,00;265,00;163,00;147,00;142,00;112,00;89,00;43,00;36,00;28,00;24,00;21,00;34,00;15,00;6,00;0,00;0,00;22,00;206,00;279,00;81,00;335,00;1179,00;168,00;107,00;21,00
"201112";"01011105";"01";"01";"11";"05";"1";412,00;216,00;196,00;6,00;6,00;3,00;12,00;3,00;6,00;3,00;3,00;6,00;0,00;12,00;12,00;0,00;15,00;13,00;31,00;39,00;33,00;59,00;45,00;42,00;29,00;9,00;10,00;0,00;0,00;3,00;6,00;6,00;0,00;0,00;0,00;6,00;24,00;30,00;12,00;15,00;262,00;48,00;9,00;6,00
"201112";"01011201";"01";"01";"12";"01";"1";956,00;507,00;449,00;12,00;21,00;6,00;22,00;18,00;6,00;17,00;16,00;25,00;12,00;9,00;39,00;34,00;58,00;34,00;53,00;78,00;90,00;80,00;65,00;65,00;70,00;25,00;18,00;15,00;19,00;33,00;13,00;3,00;0,00;0,00;0,00;12,00;67,00;85,00;39,00;92,00;465,00;113,00;80,00;3,00
"201112";"01011202";"01";"01";"12";"02";"1";147,00;72,00;75,00;0,00;6,00;0,00;0,00;0,00;0,00;3,00;6,00;6,00;7,00;0,00;0,00;3,00;10,00;6,00;3,00;21,00;18,00;16,00;15,00;9,00;12,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;6,00;22,00;0,00;13,00;88,00;15,00;3,00;0,00
"201112";"01011203";"01";"01";"12";"03";"1";337,00;166,00;171,00;3,00;0,00;3,00;13,00;0,00;3,00;6,00;9,00;9,00;9,00;6,00;6,00;15,00;21,00;12,00;15,00;39,00;24,00;41,00;28,00;12,00;23,00;12,00;3,00;7,00;9,00;6,00;0,00;3,00;0,00;0,00;0,00;3,00;16,00;42,00;6,00;36,00;171,00;38,00;22,00;3,00
"201112";"01011204";"01";"01";"12";"04";"1";1934,00;942,00;992,00;28,00;13,00;18,00;55,00;27,00;32,00;21,00;37,00;41,00;24,00;15,00;41,00;41,00;137,00;86,00;129,00;198,00;201,00;157,00;146,00;130,00;117,00;37,00;37,00;37,00;30,00;42,00;22,00;23,00;9,00;3,00;0,00;28,00;113,00;170,00;41,00;178,00;1047,00;191,00;131,00;35,00
"201112";"01011301";"01";"01";"13";"01";"1";1418,00;700,00;718,00;36,00;24,00;16,00;43,00;18,00;15,00;6,00;23,00;9,00;7,00;12,00;16,00;28,00;97,00;65,00;135,00;251,00;188,00;125,00;92,00;59,00;48,00;28,00;12,00;17,00;12,00;9,00;12,00;6,00;6,00;3,00;0,00;36,00;101,00;72,00;16,00;125,00;915,00;88,00;50,00;15,00
