ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;HK_EU15;HK_EU27;HK_Polen;HK_EheJug;HK_EheSU;HK_Turk;HK_Arab;HK_Sonst;HK_NZOrd
200812;01011101;01;01;11;01;1;1549;177;350;102;66;240;55;202;544;92
200812;01011102;01;01;11;02;1;46;12;18;6;3;3;3;3;13;3
200812;01011103;01;01;11;03;1;2354;297;636;224;126;416;324;229;486;137
200812;01011104;01;01;11;04;1;2404;177;409;137;146;229;541;441;433;205
200812;01011105;01;01;11;05;1;454;83;125;30;6;60;18;49;177;19
200812;01011201;01;01;12;01;1;859;69;173;12;13;315;24;107;201;26
200812;01011202;01;01;12;02;1;121;42;45;0;6;15;0;9;43;3
200812;01011203;01;01;12;03;1;430;63;105;15;6;241;9;3;63;3
200812;01011204;01;01;12;04;1;1880;222;656;96;103;388;64;174;420;75
200812;01011301;01;01;13;01;1;1258;366;517;71;36;142;32;65;422;44
200812;01011302;01;01;13;02;1;3165;1001;1328;132;105;280;170;103;1094;85
200812;01011303;01;01;13;03;1;2192;460;710;109;82;318;79;140;813;50
200812;01011304;01;01;13;04;1;1993;133;392;73;113;318;184;168;738;80
200812;01011305;01;01;13;05;1;1378;166;424;61;40;201;133;131;415;34
200812;01011306;01;01;13;06;1;1974;208;438;109;109;170;430;126;535;166
200812;01011401;01;01;14;01;1;3276;1103;1537;200;85;300;126;97;1047;84
200812;01011402;01;01;14;02;1;2548;991;1246;89;77;187;73;55;844;66
200812;01022101;01;02;21;01;1;1248;94;343;203;118;53;178;233;244;79
200812;01022102;01;02;21;02;1;3045;272;727;349;351;111;707;422;532;195
200812;01022103;01;02;21;03;1;76;0;7;4;6;9;36;6;3;9
200812;01022104;01;02;21;04;1;7284;685;1671;737;770;421;1717;746;1403;556
200812;01022105;01;02;21;05;1;2386;214;450;172;255;152;574;423;344;188
200812;01022106;01;02;21;06;1;3174;481;933;311;227;280;467;296;709;262
200812;01022201;01;02;22;01;1;4488;477;943;335;352;217;1347;427;840;362
200812;01022202;01;02;22;02;1;915;37;76;30;31;55;432;104;116;101
200812;01022203;01;02;22;03;1;3529;215;575;283;288;199;1251;470;405;341
200812;01022204;01;02;22;04;1;1811;244;470;172;100;192;343;215;371;120
200812;01022205;01;02;22;05;1;1565;96;311;167;92;266;268;230;272;126
200812;01022206;01;02;22;06;1;1016;159;286;96;44;106;191;63;258;68
200812;01022207;01;02;22;07;1;2349;479;812;217;94;206;138;150;821;128
200812;01033101;01;03;31;01;1;12368;583;2363;1351;1275;560;4632;1372;1350;816
200812;01033102;01;03;31;02;1;6112;354;988;454;630;244;2581;584;582;503
200812;01033201;01;03;32;01;1;7861;266;799;417;417;583;3382;1248;619;813
200812;01033202;01;03;32;02;1;4752;233;832;515;275;252;2032;399;501;461
200812;01033203;01;03;32;03;1;7457;319;1171;699;825;366;2793;914;850;538
200812;01044101;01;04;41;01;1;7124;509;1553;761;747;354;2189;585;1145;551
200812;01044102;01;04;41;02;1;4194;353;1233;756;459;216;1207;200;528;351
200812;01044103;01;04;41;03;1;3475;271;732;353;267;270;942;288;757;219
200812;01044201;01;04;42;01;1;13455;658;2230;1110;1485;451;5095;1567;1640;987
200812;01044202;01;04;42;02;1;8404;607;1864;888;649;314;2044;902;2185;446
200812;01044203;01;04;42;03;1;8219;586;1661;802;737;264;3045;752;1224;536
200812;02010101;02;01;01;01;1;4403;347;808;323;165;373;1174;788;708;387
200812;02010102;02;01;01;02;1;8426;430;1057;485;461;588;3232;1437;695;956
200812;02010103;02;01;01;03;1;9064;408;1020;487;240;194;5253;604;689;1064
200812;02010104;02;01;01;04;1;3321;182;279;67;71;63;1702;587;209;410
200812;02020201;02;02;02;01;1;139;32;47;15;3;13;21;6;40;9
200812;02020202;02;02;02;02;1;2295;398;638;179;172;83;497;298;412;195
200812;02020203;02;02;02;03;1;3477;791;1101;227;247;89;775;271;705;289
200812;02020204;02;02;02;04;1;4549;978;1445;327;342;127;1071;318;937;309
200812;02020205;02;02;02;05;1;5624;1284;1624;236;330;103;1767;373;1009;418
200812;02020206;02;02;02;06;1;7893;1348;2010;460;556;169;2410;1047;1208;493
200812;02030301;02;03;03;01;1;6103;596;775;76;122;41;3740;280;513;632
200812;02030302;02;03;03;02;1;7069;840;1181;186;257;89;3650;399;854;639
200812;02030401;02;03;04;01;1;6799;1253;1745;302;350;107;2518;484;1058;537
200812;02030402;02;03;04;02;1;5456;1035;1480;318;221;57;2426;153;706;413
200812;02040501;02;04;05;01;1;980;68;255;64;40;151;35;81;402;16
200812;02040502;02;04;05;02;1;1044;152;302;77;68;157;44;29;408;36
200812;02040503;02;04;05;03;1;1392;359;586;118;85;107;56;39;485;34
200812;02040701;02;04;07;01;1;3185;286;747;215;229;634;187;159;1160;69
200812;02040702;02;04;07;02;1;1517;402;719;153;45;165;47;22;458;61
200812;02040703;02;04;07;03;1;178;13;35;16;33;9;30;19;49;3
200812;02050601;02;05;06;01;1;1402;396;557;87;104;119;50;72;454;46
200812;02050602;02;05;06;02;1;3376;957;1463;310;186;366;118;92;1052;99
200812;02050801;02;05;08;01;1;3484;931;1376;257;315;280;107;82;1199;125
200812;02050802;02;05;08;02;1;3421;1323;1806;268;92;220;127;91;1011;74
200812;02050803;02;05;08;03;1;1110;261;522;137;68;113;118;45;213;31
200812;02050804;02;05;08;04;1;299;40;102;31;9;39;13;9;104;23
200812;03010101;03;01;01;01;2;192;19;96;46;3;27;6;9;34;17
200812;03010102;03;01;01;02;2;788;33;239;116;21;275;38;38;159;18
200812;03010104;03;01;01;04;2;22;13;22;9;0;0;0;0;0;0
200812;03020203;03;02;02;03;2;50;12;21;3;4;15;0;0;10;0
200812;03020209;03;02;02;09;2;1140;189;475;144;46;132;60;23;328;76
200812;03020210;03;02;02;10;2;681;99;282;128;22;123;48;31;121;54
200812;03020307;03;02;03;07;2;1532;126;461;205;65;631;117;34;154;70
200812;03030405;03;03;04;05;2;800;59;238;95;56;357;21;0;98;30
200812;03030406;03;03;04;06;2;433;65;173;46;9;132;12;9;67;31
200812;03030711;03;03;07;11;2;272;34;127;58;0;64;3;15;38;25
200812;03030715;03;03;07;15;2;396;41;160;45;21;40;31;20;81;43
200812;03030716;03;03;07;16;2;24;6;12;3;0;6;0;0;3;3
200812;03040508;03;04;05;08;2;706;85;180;67;31;228;127;6;83;51
200812;03040512;03;04;05;12;2;870;127;293;108;52;110;120;43;169;83
200812;03040513;03;04;05;13;2;358;86;145;35;18;49;51;12;39;44
200812;03040614;03;04;06;14;2;2637;520;1213;375;127;406;74;104;586;127
200812;03040818;03;04;08;18;2;2655;514;1154;297;125;387;116;172;615;86
200812;03050919;03;05;09;19;2;236;43;113;36;3;62;6;9;40;3
200812;03050920;03;05;09;20;2;448;48;173;51;21;103;15;3;98;35
200812;03050923;03;05;09;23;2;792;121;384;157;47;102;25;21;195;18
200812;03050924;03;05;09;24;2;562;101;247;100;40;55;35;24;137;24
200812;03050925;03;05;09;25;2;664;97;263;98;36;95;33;15;194;28
200812;03051017;03;05;10;17;2;508;32;267;198;9;144;6;9;61;12
200812;03051021;03;05;10;21;2;398;49;153;45;18;83;18;9;105;12
200812;03051022;03;05;10;22;2;210;19;86;24;12;48;25;12;18;9
200812;03061126;03;06;11;26;1;2244;826;1142;183;60;193;65;85;638;61
200812;03061131;03;06;11;31;1;2085;918;1173;155;31;155;27;39;639;21
200812;03061227;03;06;12;27;1;2083;717;1033;164;47;167;50;42;710;34
