ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;HK_EU15;HK_EU27;HK_Polen;HK_EheJug;HK_EheSU;HK_Turk;HK_Arab;HK_Sonst;HK_NZOrd
200712;01011101;01;01;11;01;1;1613;192;351;89;71;234;45;228;586;98
200712;01011102;01;01;11;02;1;44;4;16;12;3;3;3;3;13;3
200712;01011103;01;01;11;03;1;2365;276;619;250;151;400;308;257;517;113
200712;01011104;01;01;11;04;1;2500;205;490;180;141;243;538;437;445;206
200712;01011105;01;01;11;05;1;427;76;113;21;6;42;18;37;172;39
200712;01011201;01;01;12;01;1;920;74;190;9;15;332;21;98;242;22
200712;01011202;01;01;12;02;1;128;27;27;0;6;12;0;14;62;7
200712;01011203;01;01;12;03;1;458;61;98;6;3;263;11;6;77;0
200712;01011204;01;01;12;04;1;1709;222;663;97;87;320;79;144;381;35
200712;01011301;01;01;13;01;1;1194;366;501;50;39;153;39;53;373;36
200712;01011302;01;01;13;02;1;3068;897;1251;133;102;270;160;109;1072;104
200712;01011303;01;01;13;03;1;2016;399;642;101;82;282;83;134;745;48
200712;01011304;01;01;13;04;1;1777;116;346;66;118;285;168;161;633;66
200712;01011305;01;01;13;05;1;1373;181;440;73;67;181;139;96;400;50
200712;01011306;01;01;13;06;1;1867;184;461;125;98;206;401;145;439;117
200712;01011401;01;01;14;01;1;3159;930;1385;200;117;364;143;166;919;65
200712;01011402;01;01;14;02;1;2381;865;1150;102;54;181;85;57;802;52
200712;01022101;01;02;21;01;1;1305;103;336;196;128;57;210;230;261;83
200712;01022102;01;02;21;02;1;3067;269;727;347;400;104;707;426;515;188
200712;01022103;01;02;21;03;1;86;6;15;6;3;9;34;10;6;9
200712;01022104;01;02;21;04;1;7452;660;1638;769;742;433;1848;826;1432;533
200712;01022105;01;02;21;05;1;2471;239;487;187;267;156;573;439;382;167
200712;01022106;01;02;21;06;1;3284;460;934;347;272;289;452;332;788;217
200712;01022201;01;02;22;01;1;4680;487;982;362;384;216;1423;433;901;341
200712;01022202;01;02;22;02;1;883;32;73;29;34;49;448;97;97;85
200712;01022203;01;02;22;03;1;3475;247;600;261;268;211;1260;444;361;331
200712;01022204;01;02;22;04;1;1866;271;534;214;108;135;342;189;405;153
200712;01022205;01;02;22;05;1;1566;74;284;167;85;269;303;207;283;135
200712;01022206;01;02;22;06;1;1066;152;300;105;39;132;190;66;229;110
200712;01022207;01;02;22;07;1;2518;600;967;265;62;268;129;132;830;130
200712;01033101;01;03;31;01;1;12161;529;2132;1316;1362;565;4703;1282;1341;776
200712;01033102;01;03;31;02;1;6077;300;968;521;624;226;2690;520;551;498
200712;01033201;01;03;32;01;1;7838;250;879;521;398;569;3349;1234;597;812
200712;01033202;01;03;32;02;1;4576;250;825;515;295;245;1941;399;456;415
200712;01033203;01;03;32;03;1;7305;311;1195;725;783;304;2801;892;819;511
200712;01044101;01;04;41;01;1;6695;501;1455;766;729;336;2054;517;1065;539
200712;01044102;01;04;41;02;1;4047;326;1182;742;484;211;1162;178;541;289
200712;01044103;01;04;41;03;1;3522;325;853;391;268;245;962;277;699;218
200712;01044201;01;04;42;01;1;13535;608;2256;1286;1534;550;5037;1626;1540;992
200712;01044202;01;04;42;02;1;8466;675;1907;987;701;279;2144;824;2206;405
