"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_E00_01";"MH_E01_02";"MH_E02_03";"MH_E03_05";"MH_E05_06";"MH_E06_07";"MH_E07_08";"MH_E08_10";"MH_E10_12";"MH_E12_14";"MH_E14_15";"MH_E15_18";"MH_E18_21";"MH_E21_25";"MH_E25_27";"MH_E27_30";"MH_E30_35";"MH_E35_40";"MH_E40_45";"MH_E45_50";"MH_E50_55";"MH_E55_60";"MH_E60_63";"MH_E63_65";"MH_E65_67";"MH_E67_70";"MH_E70_75";"MH_E75_80";"MH_E80_85";"MH_E85_90";"MH_E90_95";"MH_E95_110";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110"
"201512";"01011101";"01";"01";"11";"01";"1";1698,00;914,00;784,00;18,00;25,00;12,00;42,00;12,00;13,00;13,00;21,00;18,00;27,00;3,00;23,00;54,00;215,00;90,00;144,00;207,00;155,00;115,00;104,00;96,00;100,00;32,00;18,00;30,00;27,00;30,00;27,00;15,00;9,00;3,00;0,00;18,00;91,00;95,00;23,00;269,00;911,00;150,00;114,00;27,00
"201512";"01011102";"01";"01";"11";"02";"1";75,00;48,00;27,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;9,00;3,00;6,00;12,00;9,00;9,00;9,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;3,00;0,00;9,00;51,00;3,00;3,00;0,00
"201512";"01011103";"01";"01";"11";"03";"1";3180,00;1757,00;1423,00;33,00;50,00;41,00;78,00;41,00;41,00;33,00;88,00;87,00;67,00;41,00;98,00;119,00;237,00;150,00;214,00;303,00;309,00;220,00;186,00;182,00;175,00;87,00;58,00;33,00;63,00;56,00;41,00;33,00;10,00;6,00;0,00;33,00;210,00;357,00;98,00;356,00;1564,00;320,00;193,00;49,00
"201512";"01011104";"01";"01";"11";"04";"1";2908,00;1543,00;1365,00;34,00;34,00;52,00;74,00;34,00;40,00;30,00;85,00;59,00;65,00;47,00;104,00;130,00;302,00;165,00;237,00;318,00;248,00;193,00;171,00;153,00;110,00;55,00;31,00;24,00;31,00;30,00;18,00;21,00;13,00;0,00;0,00;34,00;194,00;326,00;104,00;432,00;1485,00;196,00;103,00;34,00
"201512";"01011105";"01";"01";"11";"05";"1";622,00;321,00;301,00;15,00;4,00;6,00;31,00;10,00;9,00;6,00;3,00;6,00;9,00;12,00;18,00;18,00;19,00;25,00;29,00;64,00;62,00;63,00;64,00;45,00;34,00;27,00;6,00;6,00;16,00;0,00;3,00;6,00;6,00;0,00;0,00;15,00;51,00;45,00;18,00;37,00;352,00;67,00;25,00;12,00
"201512";"01011201";"01";"01";"12";"01";"1";1000,00;536,00;464,00;12,00;12,00;3,00;27,00;9,00;8,00;9,00;22,00;20,00;33,00;16,00;30,00;33,00;67,00;43,00;49,00;112,00;77,00;98,00;68,00;55,00;69,00;42,00;18,00;9,00;22,00;12,00;12,00;6,00;7,00;0,00;0,00;12,00;51,00;108,00;30,00;100,00;502,00;129,00;55,00;13,00
"201512";"01011202";"01";"01";"12";"02";"1";245,00;120,00;125,00;3,00;3,00;0,00;9,00;6,00;3,00;0,00;9,00;9,00;10,00;6,00;10,00;0,00;13,00;17,00;11,00;40,00;36,00;15,00;15,00;3,00;12,00;6,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;18,00;37,00;10,00;13,00;137,00;18,00;9,00;0,00
"201512";"01011203";"01";"01";"12";"03";"1";481,00;240,00;241,00;6,00;3,00;9,00;6,00;9,00;7,00;0,00;7,00;3,00;9,00;4,00;9,00;9,00;26,00;34,00;40,00;54,00;66,00;27,00;45,00;33,00;24,00;21,00;6,00;6,00;9,00;6,00;3,00;0,00;0,00;0,00;0,00;6,00;27,00;30,00;9,00;35,00;299,00;51,00;24,00;0,00
"201512";"01011204";"01";"01";"12";"04";"1";2776,00;1381,00;1395,00;55,00;22,00;37,00;62,00;24,00;24,00;33,00;64,00;76,00;35,00;24,00;64,00;64,00;176,00;124,00;230,00;349,00;251,00;242,00;195,00;165,00;146,00;73,00;33,00;43,00;59,00;41,00;31,00;21,00;10,00;3,00;0,00;55,00;145,00;256,00;64,00;240,00;1556,00;252,00;174,00;34,00
"201512";"01011301";"01";"01";"13";"01";"1";2314,00;1177,00;1137,00;40,00;46,00;39,00;53,00;30,00;21,00;22,00;33,00;27,00;27,00;9,00;19,00;46,00;133,00;136,00;260,00;391,00;295,00;233,00;152,00;99,00;59,00;36,00;15,00;24,00;18,00;30,00;21,00;0,00;0,00;0,00;0,00;40,00;168,00;139,00;19,00;179,00;1566,00;110,00;93,00;0,00
"201512";"01011302";"01";"01";"13";"02";"1";4439,00;2250,00;2189,00;60,00;58,00;55,00;111,00;45,00;53,00;62,00;111,00;99,00;95,00;31,00;87,00;70,00;244,00;261,00;439,00;731,00;572,00;434,00;314,00;213,00;114,00;37,00;34,00;33,00;21,00;25,00;12,00;6,00;9,00;0,00;3,00;60,00;269,00;451,00;87,00;314,00;2964,00;185,00;91,00;18,00
"201512";"01011303";"01";"01";"13";"03";"1";3518,00;1890,00;1628,00;35,00;51,00;43,00;89,00;36,00;28,00;32,00;59,00;61,00;34,00;21,00;71,00;71,00;299,00;248,00;383,00;582,00;403,00;299,00;195,00;173,00;114,00;51,00;45,00;28,00;18,00;22,00;9,00;9,00;6,00;3,00;0,00;35,00;219,00;235,00;71,00;370,00;2283,00;210,00;77,00;18,00
"201512";"01011304";"01";"01";"13";"04";"1";2771,00;1380,00;1391,00;43,00;46,00;36,00;99,00;44,00;37,00;34,00;72,00;60,00;73,00;31,00;99,00;96,00;225,00;127,00;206,00;316,00;258,00;202,00;211,00;154,00;109,00;45,00;21,00;24,00;19,00;36,00;21,00;9,00;12,00;6,00;0,00;43,00;225,00;307,00;99,00;321,00;1474,00;175,00;100,00;27,00
