ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;MH_EM;MH_EW;MH_E00_01;MH_E01_02;MH_E02_03;MH_E03_05;MH_E05_06;MH_E06_07;MH_E07_08;MH_E08_10;MH_E10_12;MH_E12_14;MH_E14_15;MH_E15_18;MH_E18_21;MH_E21_25;MH_E25_27;MH_E27_30;MH_E30_35;MH_E35_40;MH_E40_45;MH_E45_50;MH_E50_55;MH_E55_60;MH_E60_63;MH_E63_65;MH_E65_67;MH_E67_70;MH_E70_75;MH_E75_80;MH_E80_85;MH_E85_90;MH_E90_95;MH_E95_110;MH_U1;MH_1U6;MH_6U15;MH_15U18;MH_18U25;MH_25U55;MH_55U65;MH_65U80;MH_80U110
201012;09020702;09;02;07;02;2;868;435;433;12;12;21;45;18;9;12;25;18;16;12;27;33;43;38;43;78;79;61;58;48;28;15;0;20;24;32;12;17;3;9;0;12;96;92;27;76;405;43;88;29
201012;09020801;09;02;08;01;2;120;40;80;3;6;0;6;0;0;0;4;0;0;0;3;0;9;3;0;10;15;19;15;3;9;6;0;0;6;0;0;3;0;0;0;3;12;4;3;9;65;15;6;3
201012;09020802;09;02;08;02;2;527;306;221;6;6;9;9;13;13;6;9;15;19;10;3;16;30;26;45;49;50;40;35;37;29;12;3;3;3;10;15;6;0;0;0;6;37;72;3;46;282;44;31;6
201012;09030901;09;03;09;01;2;811;430;381;22;21;12;25;16;7;6;30;27;24;13;37;19;37;21;31;63;80;62;67;48;40;12;6;22;22;9;13;12;4;3;0;22;74;107;37;56;372;58;66;19
201012;09030902;09;03;09;02;2;481;235;246;9;9;6;16;12;9;6;24;21;18;6;21;15;15;18;25;31;37;37;43;22;21;3;3;9;9;6;12;6;9;0;3;9;43;84;21;30;213;27;36;18
201012;09030903;09;03;09;03;2;953;477;476;6;10;18;30;15;19;21;30;46;42;9;56;26;58;9;40;105;67;77;68;82;34;24;3;0;10;30;9;9;0;0;0;6;73;167;56;84;448;61;49;9
201012;09031001;09;03;10;01;2;657;326;331;9;6;15;31;7;13;3;28;9;22;7;44;3;26;7;28;69;64;45;61;46;31;19;3;9;18;12;19;0;3;0;0;9;59;82;44;29;320;53;58;3
201012;09031101;09;03;11;01;2;267;135;132;0;0;0;9;9;6;0;15;3;3;3;0;9;15;9;0;22;25;30;15;15;21;6;12;3;3;12;15;3;4;0;0;0;18;30;0;24;116;39;33;7
201012;09031201;09;03;12;01;2;83;43;40;0;0;0;3;0;4;0;3;0;0;6;3;0;3;0;0;3;3;0;15;6;12;0;0;6;10;6;0;0;0;0;0;0;3;13;3;3;27;12;22;0
201012;09031202;09;03;12;02;2;131;59;72;6;3;0;6;0;0;7;0;0;0;0;3;0;12;3;10;9;9;7;12;3;7;9;0;0;6;16;0;0;3;0;0;6;9;7;3;12;53;16;22;3
201012;09041301;09;04;13;01;2;441;194;247;3;6;3;24;3;9;9;12;14;6;3;18;3;14;6;13;33;22;16;24;24;30;12;6;21;31;28;23;6;19;0;0;3;36;53;18;17;138;48;103;25
201012;09041302;09;04;13;02;2;94;39;55;3;3;0;0;3;6;0;0;3;0;3;3;3;9;0;6;9;6;6;3;12;9;0;0;0;0;7;0;0;0;0;0;3;6;12;3;12;42;9;7;0
201012;09041401;09;04;14;01;2;218;94;124;0;6;3;3;6;3;3;15;0;3;12;6;0;9;3;3;21;9;9;24;9;0;6;0;6;22;22;6;6;3;0;0;0;18;36;6;9;78;6;56;9
201012;09041402;09;04;14;02;2;157;79;78;0;0;3;0;0;0;0;9;12;4;0;9;3;3;6;6;3;10;9;12;9;24;10;7;0;0;9;6;0;3;0;0;0;3;25;9;6;55;41;15;3
201012;09041501;09;04;15;01;2;561;279;282;9;9;6;33;7;9;6;33;15;27;6;21;28;37;12;16;39;43;50;61;30;19;6;6;6;0;12;3;3;9;0;0;9;55;96;21;65;251;31;21;12
201012;09041601;09;04;16;01;2;271;138;133;3;6;0;9;6;4;0;9;3;9;0;9;3;9;0;14;19;15;26;24;31;9;18;4;7;3;15;7;6;3;0;0;3;21;25;9;12;129;31;32;9
201012;09051701;09;05;17;01;2;120;54;66;10;0;3;0;0;0;3;3;0;0;0;0;3;3;0;6;12;16;6;10;3;18;0;3;6;6;3;6;0;0;0;0;10;3;6;0;6;53;21;21;0
