ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;HK_EU15;HK_EU28;HK_Polen;HK_EheJug;HK_EheSU;HK_Turk;HK_Arab;HK_Sonst;HK_NZOrd
201612;01011101;01;01;11;01;1;1747;342;555;98;50;270;80;237;485;70
201612;01011102;01;01;11;02;1;71;16;40;10;0;3;0;0;24;4
201612;01011103;01;01;11;03;1;3248;450;989;225;123;402;315;598;705;116
201612;01011104;01;01;11;04;1;3030;411;761;143;84;209;424;607;746;199
201612;01011105;01;01;11;05;1;657;109;153;23;8;149;27;141;170;9
201612;01011201;01;01;12;01;1;1171;159;318;26;9;312;43;152;294;43
201612;01011202;01;01;12;02;1;288;96;131;10;13;37;3;3;95;6
201612;01011203;01;01;12;03;1;512;109;180;22;9;186;13;21;97;6
201612;01011204;01;01;12;04;1;3303;541;1155;168;91;640;127;355;839;96
201612;01011301;01;01;13;01;1;2538;770;1173;168;38;303;78;151;749;46
201612;01011302;01;01;13;02;1;4699;1702;2256;216;92;385;189;238;1461;78
201612;01011303;01;01;13;03;1;4169;997;1449;190;75;449;124;422;1582;68
201612;01011304;01;01;13;04;1;3084;432;707;115;192;328;226;238;1287;106
201612;01011305;01;01;13;05;1;2653;448;757;98;33;439;147;292;899;86
201612;01011306;01;01;13;06;1;3726;664;1173;235;123;273;524;357;1091;185
201612;01011401;01;01;14;01;1;6296;2156;2950;321;119;490;196;501;1956;84
201612;01011402;01;01;14;02;1;4877;2017;2578;218;54;383;98;170;1533;61
201612;01022101;01;02;21;01;1;1825;265;810;301;91;83;148;356;235;102
201612;01022102;01;02;21;02;1;3719;447;1261;378;239;165;578;571;694;211
201612;01022103;01;02;21;03;1;186;4;25;3;3;10;38;34;70;6
201612;01022104;01;02;21;04;1;8842;1348;2958;845;494;450;1483;1233;1734;490
201612;01022105;01;02;21;05;1;3064;359;1015;221;172;164;509;552;480;172
201612;01022106;01;02;21;06;1;4232;746;1401;294;189;345;367;669;1078;183
201612;01022201;01;02;22;01;1;5663;891;1705;357;273;347;1078;835;1093;332
201612;01022202;01;02;22;02;1;972;49;113;29;21;49;366;169;121;133
201612;01022203;01;02;22;03;1;4057;375;973;258;242;222;1098;666;473;383
201612;01022204;01;02;22;04;1;2334;493;943;234;60;238;259;267;474;93
201612;01022205;01;02;22;05;1;1969;141;360;146;133;308;342;363;312;151
201612;01022206;01;02;22;06;1;1195;235;445;139;27;128;164;105;255;71
201612;01022207;01;02;22;07;1;2468;534;964;193;82;238;145;175;769;95
201612;01033101;01;03;31;01;1;16504;1671;4769;1079;1283;669;4340;2261;2139;1043
201612;01033102;01;03;31;02;1;7182;721;1910;490;508;254;2367;859;775;509
201612;01033201;01;03;32;01;1;8873;516;1470;410;372;545;3339;1479;824;844
201612;01033202;01;03;32;02;1;5343;379;1069;432;231;427;1820;600;626;570
201612;01033203;01;03;32;03;1;9098;934;2404;598;524;485;2431;1411;1253;590
201612;01044101;01;04;41;01;1;9735;1168;3484;1002;608;407;2122;987;1462;665
201612;01044102;01;04;41;02;1;6159;667;2043;836;473;250;1425;662;816;490
201612;01044103;01;04;41;03;1;4451;615;1469;321;150;221;772;709;864;266
201612;01044201;01;04;42;01;1;15744;1544;4241;1006;1081;560;4419;2192;2186;1065
201612;01044202;01;04;42;02;1;9539;1304;3069;800;442;369;1596;1394;2180;489
201612;01044203;01;04;42;03;1;9510;1087;3188;793;524;355;2520;957;1394;572
201612;02010101;02;01;01;01;1;4617;454;901;185;114;374;894;1074;943;317
201612;02010102;02;01;01;02;1;8933;752;1551;342;272;524;2944;1708;868;1066
201612;02010103;02;01;01;03;1;10842;662;1338;355;270;263;5628;1081;924;1338
201612;02010104;02;01;01;04;1;3252;303;481;62;52;15;1533;491;285;395
201612;02020201;02;02;02;01;1;443;98;149;19;0;66;44;36;128;20
201612;02020202;02;02;02;02;1;2535;543;857;128;89;79;442;433;495;140
201612;02020203;02;02;02;03;1;4126;1155;1687;262;188;119;605;374;943;210
201612;02020204;02;02;02;04;1;5016;1293;1980;349;222;181;869;428;1073;263
201612;02020205;02;02;02;05;1;5900;1521;2085;248;143;133;1368;327;1431;413
201612;02020206;02;02;02;06;1;8587;2093;2993;370;229;192;1979;1003;1654;537
201612;02030301;02;03;03;01;1;5684;805;1028;85;97;37;3028;248;625;621
201612;02030302;02;03;03;02;1;6974;1228;1669;149;152;128;2958;484;946;637
201612;02030401;02;03;04;01;1;7197;1776;2351;252;169;153;2105;508;1444;467
201612;02030402;02;03;04;02;1;5413;1331;1798;197;111;135;1850;177;917;425
201612;02040501;02;04;05;01;1;1263;138;295;62;37;194;22;107;566;42
201612;02040502;02;04;05;02;1;1831;378;652;134;70;227;42;106;671;63
201612;02040503;02;04;05;03;1;2596;807;1137;147;91;185;106;136;868;73
201612;02040701;02;04;07;01;1;4341;471;1002;222;323;605;284;436;1530;161
201612;02040702;02;04;07;02;1;2446;823;1202;146;52;210;75;91;777;39
201612;02040703;02;04;07;03;1;762;131;427;25;30;78;64;38;112;13
201612;02050601;02;05;06;01;1;2452;765;1096;174;73;185;59;147;829;63
201612;02050602;02;05;06;02;1;5664;2075;2901;358;162;480;141;288;1595;97
201612;02050801;02;05;08;01;1;5805;1942;2584;309;293;398;136;500;1768;126
201612;02050802;02;05;08;02;1;5809;2456;3294;401;97;361;155;186;1606;110
201612;02050803;02;05;08;03;1;1987;659;1010;128;66;167;102;99;485;58
201612;02050804;02;05;08;04;1;895;196;353;53;28;62;31;159;227;35
201612;03010101;03;01;01;01;2;469;60;197;69;24;68;12;53;102;13
201612;03010102;03;01;01;02;2;1530;80;389;207;116;329;40;253;378;25
201612;03010104;03;01;01;04;2;52;22;43;9;0;6;3;0;0;0
201612;03020203;03;02;02;03;2;102;18;54;20;7;12;6;0;20;3
