ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200812;01011101;01;01;11;01;1;1082;618;464;3;0;4;3;7;0;0;6;6;0;0;13;60;106;96;161;178;110;52;60;54;51;33;13;9;15;15;15;9;3;0;0;3;14;12;13;166;711;97;54;12
200812;01011102;01;01;11;02;1;28;19;9;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;6;3;6;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;4;18;0;3;0
200812;01011103;01;01;11;03;1;1363;696;667;6;3;0;13;0;3;6;20;22;30;6;24;63;81;76;105;137;132;146;105;107;74;54;15;24;18;45;23;9;10;3;3;6;16;87;24;144;808;143;110;25
200812;01011104;01;01;11;04;1;1387;730;657;10;6;3;18;3;3;6;13;36;12;18;36;50;179;96;119;161;138;121;113;64;55;15;26;12;18;21;17;12;3;0;3;10;30;88;36;229;812;96;68;18
200812;01011105;01;01;11;05;1;311;167;144;0;3;6;3;3;0;3;0;0;3;8;7;3;15;12;18;45;28;37;34;31;31;6;3;0;3;6;0;0;3;0;0;0;15;14;7;18;205;40;9;3
200812;01011201;01;01;12;01;1;571;313;258;3;3;6;9;3;3;6;12;9;9;9;6;13;40;21;27;51;67;57;42;53;39;12;9;22;9;22;6;3;0;0;0;3;21;48;6;53;318;60;59;3
200812;01011202;01;01;12;02;1;88;46;42;0;3;0;3;0;0;0;0;0;0;0;0;0;10;3;9;15;18;3;6;12;0;3;0;3;0;0;0;0;0;0;0;0;6;0;0;10;66;3;3;0
200812;01011203;01;01;12;03;1;371;178;193;0;0;0;3;3;0;0;0;3;6;0;9;18;25;16;38;46;40;21;43;23;27;14;3;3;9;18;3;0;0;0;0;0;6;9;9;43;227;44;33;0
200812;01011204;01;01;12;04;1;1251;653;598;9;9;3;12;9;0;12;6;12;22;9;6;38;79;65;94;165;142;133;76;104;68;48;21;18;21;33;19;12;6;0;0;9;33;61;6;117;779;137;91;18
200812;01011301;01;01;13;01;1;906;472;434;6;12;0;9;0;3;3;3;9;3;0;6;18;72;45;108;175;133;97;70;33;57;13;3;9;3;10;0;6;0;0;0;6;21;21;6;90;661;73;22;6
200812;01011302;01;01;13;02;1;2113;1053;1060;9;0;9;9;9;3;12;17;10;15;6;34;52;215;149;234;405;301;239;147;76;73;24;18;9;9;13;10;6;0;0;0;9;27;63;34;267;1551;115;41;6
200812;01011303;01;01;13;03;1;1480;748;732;9;0;9;13;0;4;7;9;12;15;15;33;44;158;103;151;226;232;138;103;69;49;24;12;3;3;18;15;6;0;0;0;9;22;62;33;202;1022;85;39;6
200812;01011304;01;01;13;04;1;1173;557;616;9;9;6;6;13;9;14;18;28;28;25;40;46;103;57;87;155;125;108;92;61;34;18;13;0;15;18;15;12;9;0;0;9;34;122;40;149;685;65;48;21
200812;01011305;01;01;13;05;1;879;471;408;0;3;0;14;6;3;6;10;24;12;8;21;21;62;57;100;109;107;94;69;45;40;25;15;3;0;12;13;0;0;0;0;0;23;63;21;83;581;80;28;0
200812;01011306;01;01;13;06;1;1223;668;555;6;9;3;9;3;6;0;21;15;15;3;27;67;149;74;116;191;145;110;93;54;37;13;3;9;21;15;6;0;3;0;0;6;24;60;27;216;783;53;51;3
200812;01011401;01;01;14;01;1;2280;1181;1099;6;6;12;23;3;3;6;21;23;10;9;18;52;233;170;311;454;352;238;139;83;23;24;12;9;3;25;9;3;0;0;0;6;44;72;18;285;1747;59;46;3
200812;01011402;01;01;14;02;1;1802;915;887;16;12;9;19;12;3;3;3;3;9;0;7;37;146;182;276;410;301;148;86;34;43;6;12;3;10;6;3;3;0;0;0;16;52;21;7;183;1437;61;22;3
200812;01022101;01;02;21;01;1;861;516;345;3;3;0;12;0;3;6;12;9;10;6;24;40;46;47;82;110;90;94;75;61;39;15;20;9;18;24;0;0;3;0;0;3;15;46;24;86;559;74;51;3
200812;01022102;01;02;21;02;1;2095;1122;973;9;18;3;35;13;9;21;45;41;25;24;63;80;123;89;147;253;253;185;167;132;98;87;36;22;33;44;24;6;4;6;0;9;69;165;63;203;1226;221;123;16
200812;01022103;01;02;21;03;1;37;21;16;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;6;6;0;7;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;6;25;6;0;0
200812;01022104;01;02;21;04;1;4499;2355;2144;25;16;22;33;21;25;24;27;76;79;33;110;151;360;238;336;562;458;439;370;266;274;153;74;67;94;103;39;21;0;3;0;25;92;264;110;511;2669;501;303;24
200812;01022105;01;02;21;05;1;1419;727;692;6;3;6;15;9;9;6;16;30;36;14;52;86;84;51;81;185;176;138;90;81;70;47;30;21;18;40;9;4;3;3;0;6;33;111;52;170;802;147;88;10
200812;01022106;01;02;21;06;1;1709;857;852;6;0;12;15;7;9;3;16;33;25;9;43;45;142;73;129;238;177;185;107;128;127;51;24;28;19;25;12;9;9;3;0;6;34;95;43;187;1037;202;84;21
200812;01022201;01;02;22;01;1;2714;1448;1266;10;15;9;18;15;9;6;44;48;44;21;80;105;205;168;203;343;304;300;195;133;123;79;43;40;51;73;18;9;3;0;0;10;57;172;80;310;1646;245;182;12
200812;01022202;01;02;22;02;1;501;250;251;0;3;0;4;0;3;0;19;27;18;3;26;24;33;21;32;45;77;51;15;21;21;16;3;9;12;12;6;0;0;0;0;0;7;70;26;57;262;40;39;0
200812;01022203;01;02;22;03;1;2064;1036;1028;6;12;15;12;0;3;9;36;34;54;28;75;75;130;77;123;243;209;189;154;119;117;74;56;33;61;70;32;3;9;3;3;6;39;164;75;205;1114;247;196;18
200812;01022204;01;02;22;04;1;1036;551;485;9;9;3;6;4;3;3;15;15;9;9;30;37;84;46;83;123;118;104;88;63;58;19;13;9;24;28;15;9;0;0;0;9;22;54;30;121;625;90;76;9
