"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_E00_01";"MH_E01_02";"MH_E02_03";"MH_E03_05";"MH_E05_06";"MH_E06_07";"MH_E07_08";"MH_E08_10";"MH_E10_12";"MH_E12_14";"MH_E14_15";"MH_E15_18";"MH_E18_21";"MH_E21_25";"MH_E25_27";"MH_E27_30";"MH_E30_35";"MH_E35_40";"MH_E40_45";"MH_E45_50";"MH_E50_55";"MH_E55_60";"MH_E60_63";"MH_E63_65";"MH_E65_67";"MH_E67_70";"MH_E70_75";"MH_E75_80";"MH_E80_85";"MH_E85_90";"MH_E90_95";"MH_E95_110";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110"
"201312";"01011101";"01";"01";"11";"01";"1";1611,00;873,00;738,00;12,00;18,00;24,00;33,00;15,00;6,00;3,00;15,00;26,00;11,00;10,00;16,00;79,00;196,00;85,00;139,00;178,00;149,00;116,00;92,00;83,00;81,00;56,00;25,00;27,00;25,00;31,00;35,00;18,00;7,00;0,00;0,00;12,00;90,00;71,00;16,00;275,00;842,00;162,00;118,00;25,00
"201312";"01011102";"01";"01";"11";"02";"1";63,00;35,00;28,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;7,00;9,00;9,00;19,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;6,00;0,00;3,00;51,00;0,00;0,00;0,00
"201312";"01011103";"01";"01";"11";"03";"1";2696,00;1437,00;1259,00;33,00;37,00;27,00;61,00;32,00;30,00;28,00;61,00;48,00;72,00;40,00;75,00;106,00;197,00;107,00;149,00;259,00;220,00;197,00;205,00;175,00;181,00;70,00;41,00;43,00;50,00;57,00;41,00;30,00;15,00;9,00;0,00;33,00;157,00;279,00;75,00;303,00;1312,00;292,00;191,00;54,00
"201312";"01011104";"01";"01";"11";"04";"1";2660,00;1401,00;1259,00;33,00;38,00;25,00;62,00;42,00;42,00;37,00;70,00;77,00;66,00;37,00;96,00;140,00;267,00;169,00;216,00;262,00;227,00;164,00;157,00;147,00;74,00;27,00;18,00;40,00;43,00;28,00;28,00;17,00;11,00;0,00;0,00;33,00;167,00;329,00;96,00;407,00;1342,00;119,00;139,00;28,00
"201312";"01011105";"01";"01";"11";"05";"1";617,00;335,00;282,00;3,00;9,00;13,00;13,00;3,00;0,00;13,00;6,00;9,00;13,00;0,00;27,00;15,00;30,00;26,00;39,00;70,00;57,00;54,00;60,00;50,00;40,00;26,00;10,00;6,00;9,00;3,00;10,00;3,00;0,00;0,00;0,00;3,00;38,00;41,00;27,00;45,00;356,00;76,00;28,00;3,00
"201312";"01011201";"01";"01";"12";"01";"1";991,00;528,00;463,00;11,00;6,00;12,00;28,00;8,00;10,00;7,00;25,00;25,00;32,00;6,00;24,00;31,00;69,00;42,00;62,00;107,00;79,00;88,00;63,00;64,00;62,00;23,00;15,00;6,00;29,00;24,00;21,00;12,00;0,00;0,00;0,00;11,00;54,00;105,00;24,00;100,00;505,00;100,00;80,00;12,00
"201312";"01011202";"01";"01";"12";"02";"1";208,00;100,00;108,00;0,00;0,00;6,00;7,00;0,00;0,00;3,00;0,00;0,00;4,00;3,00;6,00;6,00;9,00;13,00;18,00;30,00;32,00;15,00;17,00;6,00;15,00;9,00;0,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;13,00;10,00;6,00;15,00;131,00;24,00;3,00;6,00
"201312";"01011203";"01";"01";"12";"03";"1";429,00;237,00;192,00;6,00;6,00;3,00;3,00;7,00;0,00;0,00;14,00;6,00;6,00;3,00;9,00;16,00;34,00;19,00;22,00;39,00;55,00;44,00;43,00;24,00;25,00;12,00;9,00;9,00;3,00;3,00;3,00;3,00;3,00;0,00;0,00;6,00;19,00;29,00;9,00;50,00;246,00;46,00;18,00;6,00
"201312";"01011204";"01";"01";"12";"04";"1";2215,00;1084,00;1131,00;13,00;28,00;40,00;28,00;18,00;34,00;34,00;44,00;32,00;37,00;27,00;45,00;69,00;125,00;93,00;177,00;260,00;191,00;190,00;172,00;147,00;126,00;67,00;40,00;29,00;41,00;45,00;29,00;18,00;13,00;3,00;0,00;13,00;114,00;208,00;45,00;194,00;1230,00;233,00;144,00;34,00
"201312";"01011301";"01";"01";"13";"01";"1";1728,00;859,00;869,00;22,00;25,00;22,00;40,00;16,00;14,00;21,00;31,00;29,00;15,00;12,00;22,00;22,00;121,00;82,00;197,00;291,00;212,00;179,00;100,00;74,00;52,00;40,00;29,00;16,00;9,00;20,00;9,00;3,00;0,00;3,00;0,00;22,00;103,00;122,00;22,00;143,00;1135,00;121,00;54,00;6,00
