ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;MH_EM;MH_EW;MH_E00_01;MH_E01_02;MH_E02_03;MH_E03_05;MH_E05_06;MH_E06_07;MH_E07_08;MH_E08_10;MH_E10_12;MH_E12_14;MH_E14_15;MH_E15_18;MH_E18_21;MH_E21_25;MH_E25_27;MH_E27_30;MH_E30_35;MH_E35_40;MH_E40_45;MH_E45_50;MH_E50_55;MH_E55_60;MH_E60_63;MH_E63_65;MH_E65_67;MH_E67_70;MH_E70_75;MH_E75_80;MH_E80_85;MH_E85_90;MH_E90_95;MH_E95_110;MH_U1;MH_1U6;MH_6U15;MH_15U18;MH_18U25;MH_25U55;MH_55U65;MH_65U80;MH_80U110
200812;01011101;01;01;11;01;1;1549;870;679;6;9;8;17;20;6;0;9;12;6;3;31;81;125;118;185;206;139;82;104;95;94;59;16;12;33;34;21;12;6;0;0;6;54;36;31;206;929;169;100;18
200812;01011102;01;01;11;02;1;46;31;15;0;0;0;3;0;0;0;3;0;0;0;3;0;4;0;9;6;6;6;3;0;0;0;0;3;0;0;0;0;0;0;0;0;3;3;3;4;30;0;3;0
200812;01011103;01;01;11;03;1;2354;1223;1131;19;30;16;54;19;37;31;71;51;67;18;70;75;136;96;145;193;197;221;173;176;116;83;31;36;33;73;41;21;16;6;3;19;119;275;70;211;1201;230;183;46
200812;01011104;01;01;11;04;1;2404;1243;1161;34;39;35;77;21;18;40;70;79;44;36;102;105;252;137;160;223;185;189;161;104;95;44;38;25;18;29;20;18;3;0;3;34;172;287;102;357;1159;177;92;24
200812;01011105;01;01;11;05;1;454;229;225;3;6;9;7;9;3;3;0;0;3;8;11;9;28;12;27;61;34;40;46;49;43;16;3;0;6;9;6;0;3;0;0;3;31;17;11;37;269;62;21;3
200812;01011201;01;01;12;01;1;859;452;407;3;16;9;21;9;16;18;18;24;15;12;15;16;55;30;36;82;83;69;58;71;60;25;12;22;12;31;18;3;0;0;0;3;55;103;15;71;429;97;83;3
200812;01011202;01;01;12;02;1;121;61;60;3;3;0;3;3;3;3;3;0;3;0;0;3;10;3;9;21;18;6;6;12;3;3;0;3;0;0;0;0;0;0;0;3;9;12;0;13;75;6;3;0
200812;01011203;01;01;12;03;1;430;210;220;0;4;0;6;6;3;0;3;3;6;0;12;18;28;16;38;52;43;31;43;23;39;14;6;3;9;18;6;0;0;0;0;0;16;15;12;46;246;59;36;0
200812;01011204;01;01;12;04;1;1880;965;915;30;24;22;61;21;12;28;30;21;32;18;27;77;119;68;117;189;177;171;115;153;86;63;37;31;33;51;31;24;12;0;0;30;128;141;27;196;990;186;146;36
200812;01011301;01;01;13;01;1;1258;652;606;19;25;13;30;6;17;6;21;15;9;6;24;21;90;57;126;197;161;124;89;52;70;19;9;19;10;10;0;13;0;0;0;19;74;74;24;111;806;98;39;13
200812;01011302;01;01;13;02;1;3165;1566;1599;57;43;48;98;55;28;32;80;49;43;21;68;64;258;170;291;522;393;314;207;107;95;33;21;12;19;18;10;6;3;0;0;57;244;253;68;322;2004;149;59;9
200812;01011303;01;01;13;03;1;2192;1125;1067;52;25;39;66;19;14;13;40;33;27;18;58;50;188;125;171;297;292;186;137;88;91;33;18;9;19;33;36;15;0;0;0;52;149;145;58;238;1296;142;97;15
200812;01011304;01;01;13;04;1;1993;973;1020;24;34;37;61;37;27;35;67;56;52;40;75;62;139;84;102;186;180;138;138;86;64;40;31;11;48;55;39;30;15;0;0;24;169;277;75;201;914;135;153;45
200812;01011305;01;01;13;05;1;1378;724;654;24;18;15;29;19;6;27;43;42;27;17;39;30;92;72;124;150;128;112;109;61;46;34;21;16;12;21;41;3;0;0;0;24;81;162;39;122;756;101;90;3
200812;01011306;01;01;13;06;1;1974;1069;905;31;25;42;68;34;27;14;45;27;33;9;52;94;176;96;149;263;198;149;148;94;67;22;6;18;30;36;12;3;6;0;0;31;169;155;52;270;1097;95;96;9
