RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
2010101;6126;1096;1060;2983;557;430;2271;4193;277;679;283;161;343;1190;748;699;373;;;;;;;;
2010102;12680;2463;1746;5677;1162;1632;3924;8409;464;1034;423;464;571;3203;1456;699;982;;;;;;;;
2010103;14660;2648;1791;6741;1325;2155;4765;9233;423;1000;482;232;199;5398;659;647;1098;;;;;;;;
2010104;4848;1016;708;2130;491;503;1646;3188;154;266;52;71;32;1685;472;240;422;;;;;;;;
2020201;288;32;30;184;27;15;90;130;16;34;15;3;3;24;6;60;0;;;;;;;;
2020202;5469;743;685;3014;555;472;1280;2102;394;585;136;159;71;462;305;358;162;;;;;;;;
2020203;9792;1165;1025;5640;1028;934;2098;3503;784;1135;243;265;116;757;260;683;287;;;;;;;;
2020204;11698;1437;1185;6927;1100;1049;2655;4282;939;1316;271;283;146;1070;286;860;321;;;;;;;;
2020205;14449;1978;1396;8611;1370;1094;3177;5297;1225;1556;211;301;92;1619;331;927;471;;;;;;;;
2020206;17806;2344;1921;10555;1538;1448;4792;7514;1365;2032;425;476;152;2257;1008;1126;463;;;;;;;;
2030301;9165;1416;1191;4988;830;740;3724;5854;595;761;63;106;41;3583;253;500;610;;;;;;;;
2030302;13084;1952;1474;7368;1094;1196;4390;6946;913;1305;204;241;80;3531;351;778;660;;;;;;;;
2030401;14799;1833;1537;9136;1191;1102;4271;6638;1289;1796;309;294;114;2443;437;1031;523;;;;;;;;
2030402;11238;1348;1202;7108;822;758;3695;5328;1103;1511;267;185;54;2311;146;693;428;;;;;;;;
