RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
2010101;6133;878;973;3178;567;537;2435;4253;423;896;199;108;380;910;835;806;318;;;;;;;;
2010102;13405;2344;1836;6274;1243;1708;4237;8888;735;1470;335;297;551;3048;1572;881;1069;;;;;;;;
2010103;15524;2699;2005;7291;1473;2056;5380;10563;629;1323;383;299;245;5624;909;830;1333;;;;;;;;
2010104;5066;855;700;2435;514;562;1631;3231;309;458;58;58;38;1482;455;290;450;;;;;;;;
2020201;643;93;42;431;48;29;170;286;49;90;9;3;24;22;28;116;3;;;;;;;;
2020202;5832;797;669;3154;637;575;1548;2361;548;828;137;87;83;419;311;480;153;;;;;;;;
2020203;10696;1369;949;6082;1195;1101;2387;3929;1168;1664;230;174;83;644;357;791;216;;;;;;;;
2020204;12215;1494;1182;7077;1322;1140;3143;4954;1270;1951;321;218;178;945;406;968;288;;;;;;;;
2020205;14982;1857;1479;8396;1813;1437;3638;5870;1557;2180;255;144;131;1362;320;1286;447;;;;;;;;
2020206;19172;2692;1758;11104;1945;1673;5235;8517;2107;2925;314;253;203;1982;1047;1589;518;;;;;;;;
2030301;9186;1190;1050;5168;857;921;3552;5732;826;1058;62;81;48;3100;271;590;584;;;;;;;;
2030302;13205;1786;1340;7443;1367;1269;4310;6981;1264;1764;177;145;96;3066;383;950;577;;;;;;;;
2030401;15076;1909;1341;9164;1409;1253;4567;7030;1750;2328;253;199;128;2153;406;1340;476;;;;;;;;
2030402;11229;1370;1056;6965;995;843;3654;5498;1419;1893;196;117;109;1856;200;949;374;;;;;;;;
