RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;25356;4190;3999;12475;2082;2610;9271;14684;1227;4011;1256;1260;652;4530;1456;1754;1021;;;;;;;;
1033102;11302;1735;1680;5790;911;1186;4051;6551;516;1556;446;467;284;2439;617;648;540;;;;;;;;
1033201;12800;2564;1781;5662;1172;1621;3786;8390;420;1128;416;352;540;3435;1350;743;842;;;;;;;;
1033202;9632;1421;1133;4342;987;1749;2505;5214;359;1027;469;229;416;1923;474;589;556;;;;;;;;
1033203;13628;2247;2010;6811;1148;1412;4942;8293;716;1980;688;656;410;2634;1024;1001;588;;;;;;;;
1044101;19497;2262;2535;9686;2117;2897;5193;8556;895;2733;966;579;425;2189;591;1399;640;;;;;;;;
1044102;15373;1578;1584;6622;1821;3768;3105;5363;553;1865;826;403;185;1328;436;673;473;;;;;;;;
1044103;7912;852;1117;4395;754;794;2315;3739;442;1056;334;188;266;864;368;713;284;;;;;;;;
1044201;22719;3669;3785;11178;1812;2275;9407;15044;1273;3676;1000;1301;571;4756;1762;1908;1070;;;;;;;;
1044202;16329;1996;2772;9183;1342;1036;6182;9118;1118;2742;867;449;365;1745;1118;2182;517;;;;;;;;
1044203;15639;1968;2148;7847;1464;2212;5734;8761;867;2621;834;567;241;2793;832;1142;565;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
