RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;22474;3749;3297;10686;1998;2744;7984;12368;583;2363;1351;1275;560;4632;1372;1350;816;;;;;;;;
1033102;10513;1712;1580;5075;977;1169;3874;6112;354;988;454;630;244;2581;584;582;503;;;;;;;;
1033201;12349;2563;1723;5262;1104;1697;3891;7861;266;799;417;417;583;3382;1248;619;813;;;;;;;;
1033202;9273;1294;1124;4019;1020;1816;2501;4752;233;832;515;275;252;2032;399;501;461;;;;;;;;
1033203;12585;2190;1791;6027;1134;1443;4615;7457;319;1171;699;825;366;2793;914;850;538;;;;;;;;
1044101;17988;2138;2229;8663;2076;2882;4335;7124;509;1553;761;747;354;2189;585;1145;551;;;;;;;;
1044102;14653;1421;1456;6048;1832;3896;2465;4194;353;1233;756;459;216;1207;200;528;351;;;;;;;;
1044103;7332;855;940;3999;694;844;2347;3475;271;732;353;267;270;942;288;757;219;;;;;;;;
1044201;20258;3689;3122;9551;1701;2195;8595;13455;658;2230;1110;1485;451;5095;1567;1640;987;;;;;;;;
1044202;14840;1929;2457;8138;1176;1140;5921;8404;607;1864;888;649;314;2044;902;2185;446;;;;;;;;
1044203;14408;1925;1983;6875;1448;2177;5575;8219;586;1661;802;737;264;3045;752;1224;536;;;;;;;;
