RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;23057;3888;3613;11037;1885;2634;7953;12725;692;2681;1229;1380;640;4425;1287;1457;855;;;;;;;;
1033102;10700;1732;1612;5285;911;1160;3743;6071;373;1110;420;582;221;2489;632;565;472;;;;;;;;
1033201;12612;2612;1826;5439;1121;1614;3830;8115;342;874;381;377;604;3446;1319;665;830;;;;;;;;
1033202;9361;1381;1150;4102;998;1730;2423;4912;282;844;482;288;302;1990;457;511;520;;;;;;;;
1033203;12722;2258;1891;6094;1099;1380;4473;7512;406;1245;608;755;421;2708;946;908;529;;;;;;;;
1044101;18557;2226;2394;8975;2038;2924;4506;7570;581;1963;888;770;330;2225;565;1125;592;;;;;;;;
1044102;14863;1483;1557;6102;1806;3915;2635;4537;396;1407;749;473;211;1226;260;575;385;;;;;;;;
1044103;7331;862;1039;3974;660;796;2025;3283;304;775;301;252;216;926;278;581;255;;;;;;;;
1044201;20952;3739;3549;9802;1707;2155;8645;13826;778;2551;1069;1390;544;4961;1738;1626;1016;;;;;;;;
1044202;14982;1950;2513;8279;1180;1060;5490;8189;736;1992;824;582;267;1867;954;2057;470;;;;;;;;
1044203;14560;1925;2200;6907;1389;2139;5182;7996;600;1750;791;704;250;2864;763;1157;508;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
