RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;24632;4105;3905;11992;2047;2583;8885;14056;1032;3478;1220;1411;619;4526;1358;1685;979;;;;;;;;
1033102;11030;1685;1672;5589;898;1186;3911;6298;455;1322;401;576;212;2457;602;604;525;;;;;;;;
1033201;12778;2592;1805;5653;1138;1590;3850;8357;409;1061;437;391;598;3421;1310;759;817;;;;;;;;
1033202;9611;1430;1104;4266;1039;1772;2488;5162;364;955;472;272;412;1969;438;551;565;;;;;;;;
1033203;13179;2251;1951;6475;1125;1377;4734;7966;587;1636;657;753;394;2642;952;1012;577;;;;;;;;
1044101;19210;2218;2554;9388;2112;2938;4967;8227;815;2385;936;723;395;2246;591;1273;614;;;;;;;;
1044102;15069;1543;1573;6373;1814;3766;2895;5007;489;1621;797;491;208;1273;337;656;421;;;;;;;;
1044103;7738;882;1037;4277;749;793;2238;3590;408;967;334;256;255;865;330;662;255;;;;;;;;
1044201;22224;3716;3795;10676;1831;2206;9210;14713;1109;3252;1002;1457;596;4832;1749;1743;1084;;;;;;;;
1044202;15894;1946;2706;8954;1286;1002;5920;8758;989;2420;822;516;295;1783;1057;2190;497;;;;;;;;
1044203;15364;1931;2236;7561;1441;2195;5585;8518;754;2302;831;683;237;2843;738;1176;539;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
