RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;26582;4380;3941;13438;2159;2664;10434;15905;1533;4587;1174;1317;706;4384;1832;2060;1019;;;;;;;;
1033102;11672;1831;1594;6074;933;1240;4306;6902;634;1798;442;485;227;2354;820;726;492;;;;;;;;
1033201;12988;2563;1658;5910;1221;1636;3921;8438;517;1321;400;297;589;3286;1383;738;824;;;;;;;;
1033202;9780;1527;1038;4436;981;1798;2581;5270;381;1071;438;228;394;1815;579;605;578;;;;;;;;
1033203;14165;2302;2006;7241;1118;1498;5368;8768;838;2265;659;595;502;2483;1148;1185;590;;;;;;;;
1044101;20282;2391;2447;10154;2222;3068;5790;9103;1088;3081;945;563;396;2206;853;1400;604;;;;;;;;
1044102;15958;1725;1561;7047;1865;3760;3473;5811;612;2006;838;481;257;1350;534;744;439;;;;;;;;
1044103;8131;892;1034;4617;807;781;2632;3980;590;1349;337;216;227;833;378;754;223;;;;;;;;
1044201;23529;3793;3575;11981;1822;2358;10090;15665;1437;4124;1047;1200;625;4495;2097;2041;1083;;;;;;;;
1044202;16699;1957;2558;9671;1391;1122;6562;9421;1213;2954;809;446;368;1636;1291;2235;491;;;;;;;;
1044203;16113;2004;2028;8320;1525;2236;6031;9070;1116;2960;798;564;295;2622;857;1286;486;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
