RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;26808;4500;3670;13590;2360;2688;10933;16654;1751;4972;1143;1214;657;4305;2337;2245;924;;;;;;;;
1033102;12120;1879;1802;6237;965;1237;4702;7398;750;2005;460;516;250;2256;901;926;544;;;;;;;;
1033201;13477;2639;1701;6177;1289;1671;4137;8970;570;1330;408;357;538;3417;1539;924;865;;;;;;;;
1033202;9789;1511;983;4426;1062;1807;2613;5436;410;1108;440;231;421;1869;596;665;546;;;;;;;;
1033203;14473;2294;2005;7485;1214;1475;5780;9180;877;2355;610;571;461;2367;1575;1250;601;;;;;;;;
1044101;20920;2519;2410;10533;2387;3071;6472;10041;1247;3497;987;632;392;2187;1033;1634;666;;;;;;;;
1044102;16420;1871;1510;7308;1986;3745;3839;6405;712;2125;868;464;284;1417;763;892;460;;;;;;;;
1044103;8676;999;1087;4933;886;771;3200;4573;661;1587;304;177;231;818;625;913;222;;;;;;;;
1044201;24302;3705;3481;12698;2020;2398;10640;16508;1704;4632;1020;1054;614;4379;2409;2269;1151;;;;;;;;
1044202;16926;1976;2409;9906;1449;1186;6854;9796;1317;3146;802;447;375;1593;1380;2353;502;;;;;;;;
1044203;16657;2147;1970;8726;1622;2192;6663;9833;1240;3376;760;535;371;2565;1054;1406;526;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
