RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
2010101;6481;970;1050;3316;575;570;2846;4617;454;901;185;114;374;894;1074;943;317;;;;;;;;
2010102;13278;2345;1701;6254;1254;1724;4253;8933;752;1551;342;272;524;2944;1708;868;1066;;;;;;;;
2010103;15593;2702;2058;7329;1478;2026;5584;10842;662;1338;355;270;263;5628;1081;924;1338;;;;;;;;
2010104;5044;821;660;2432;569;562;1634;3252;303;481;62;52;15;1533;491;285;395;;;;;;;;
2020201;911;151;64;592;55;49;269;443;98;149;19;0;66;44;36;128;20;;;;;;;;
2020202;5990;845;683;3183;670;609;1673;2535;543;857;128;89;79;442;433;495;140;;;;;;;;
2020203;10886;1425;925;6164;1236;1136;2543;4126;1155;1687;262;188;119;605;374;943;210;;;;;;;;
2020204;12326;1510;1199;7060;1404;1153;3174;5016;1293;1980;349;222;181;869;428;1073;263;;;;;;;;
2020205;14892;1814;1507;8218;1877;1476;3621;5900;1521;2085;248;143;133;1368;327;1431;413;;;;;;;;
2020206;19052;2651;1726;10854;2059;1762;5223;8587;2093;2993;370;229;192;1979;1003;1654;537;;;;;;;;
2030301;9092;1205;994;5037;896;960;3468;5684;805;1028;85;97;37;3028;248;625;621;;;;;;;;
2030302;13166;1706;1360;7361;1387;1352;4321;6974;1228;1669;149;152;128;2958;484;946;637;;;;;;;;
2030401;15156;1958;1355;9092;1489;1262;4751;7197;1776;2351;252;169;153;2105;508;1444;467;;;;;;;;
2030402;11083;1371;1028;6792;1043;849;3547;5413;1331;1798;197;111;135;1850;177;917;425;;;;;;;;
