RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
2010101;6204;892;1107;3156;498;551;2384;4274;450;910;239;101;380;987;742;809;345;;;;;;;;
2010102;12974;2335;1755;6015;1229;1640;4022;8726;666;1462;402;286;505;3073;1551;807;1042;;;;;;;;
2010103;15529;2769;2097;7202;1419;2042;5278;10592;582;1267;419;315;240;5857;761;809;1343;;;;;;;;
2010104;5134;943;713;2438;510;530;1656;3355;298;426;73;67;25;1627;468;311;431;;;;;;;;
2020201;283;46;36;159;21;21;74;129;39;54;15;0;0;26;6;40;3;;;;;;;;
2020202;5764;751;673;3181;624;535;1435;2283;529;873;165;94;59;417;219;455;166;;;;;;;;
2020203;10537;1234;1006;6113;1169;1015;2269;3853;1063;1526;241;155;98;688;301;808;277;;;;;;;;
2020204;12093;1421;1251;7115;1218;1088;2854;4698;1253;1843;308;214;153;977;281;947;283;;;;;;;;
2020205;14932;1849;1410;8716;1637;1320;3447;5717;1539;2066;253;147;117;1493;306;1122;466;;;;;;;;
2020206;18904;2585;1784;11181;1861;1493;5049;8303;2083;2972;370;269;170;2055;915;1346;576;;;;;;;;
2030301;9321;1276;1083;5267;849;846;3616;5895;860;1096;70;79;35;3252;243;548;642;;;;;;;;
2030302;13311;1773;1411;7617;1271;1239;4427;7185;1329;1827;195;146;100;3243;309;937;623;;;;;;;;
2030401;15086;1849;1340;9411;1358;1128;4451;6937;1716;2277;263;185;103;2228;360;1272;512;;;;;;;;
2030402;11358;1365;1110;7162;963;758;3745;5565;1469;1951;224;116;89;2027;177;791;414;;;;;;;;
